str_no_string|NO STRING! 
str_rebellion_dilemma_sadistic|嗯。 在 这 个 坏 透 了 的 世 界， 一 个 贤 人 必 须 要 为 他 自 己 考 虑， 就 和 其 他 人 一 样。 那 么—— 从 这 里 面 我 能 得 到 什 么？ 
str_rebellion_dilemma_goodnatured|我 不 知 道 该 说 什 么。 我 向 {s46}宣 誓 认 可 他 为 法 定 的 统 治 者， 但 如 果 他 不 是 法 定 的 统 治 者， 我 不 知 道 我 是 否 还 受 誓 言 的 限 制。 
str_rebellion_dilemma_upstanding|很 麻 烦。 宣 布 我 对 {s46}的 效 忠 无 效 且 没 用 是 件 很 严 重 的 事 情， 而 解 除 联 盟 会 让 我 们 的 领 地 从 没 落 成 为 无 政 府 状 态。 我 还 是 保 证 会 支 持 继 承 的 合 法， 而 {s45}依 然 对 王 位 拥 有 有 效 的 主 张。 
str_rebellion_dilemma_2_martial|另 一 方 面， {s46}曾 经 领 导 着 我 们， 而 我 讨 厌 背 信 弃 义。 
str_rebellion_dilemma_2_quarrelsome|那 么 告 诉 我， 我 为 什 么 要 对 我 所 认 识 的 {reg3?人:那 杂 种} 倒 戈， 让 我 所 不 认 识 的 {reg3?人:那 杂 种} 获 利？ 
str_rebellion_dilemma_2_pitiless|被 询 问 我 将 立 谁 为 这 片 领 土 的 {reg3?统 治 者:国 王}， 会 让 我 处 于 一 种 非 常 危 险 的 境 地。 然 而 那 也 将 成 为 大 好 的 时 机， 对 我 来 说 获 取 回 报 也 是 我 的 权 益！ 
str_rebellion_dilemma_2_cunning|{s46}已 被 质 疑， 因 此 他 将 不 能 像 那 些 统 治 权 没 有 被 质 疑 的 人 那 样 政 权 稳 定。 然 而 如 果 {s45}用 武 力 取 得 王 位， {reg3?她:他} 将 不 会 像 那 些 和 平 取 得 王 位 的 人 那 样 政 权 稳 定。 
str_rebellion_dilemma_2_sadistic|如 果 我 在 {reg3?她:他} 还 暗 弱 的 时 候 加 入 {s45}， {reg3?她:他} 将 让 我 发 一 笔， 但 如 果 我 把 你 的 人 头 带 给 {s46}他 将 给 我 更 多 的 回 报。 
str_rebellion_dilemma_2_goodnatured|{s46}待 我 不 薄， 然 而 他 的 确 对 {s45}做 的 不 对。 我 在 犹 豫 断 绝 我 对 {s46}的 效 忠， 然 而 我 还 是 不 认 为 支 持 非 正 义 的 一 方 是 正 确 的。 
str_rebellion_dilemma_2_upstanding|我 觉 得 我 必 须 为 了 领 地 尽 力 做 任 何 事 情， 来 避 免 它 因 为 内 战 而 被 敌 人 掠 夺 并 且 荒 废 掉。 
str_political_philosophy_martial|我 的 剑 只 为 合 法 的 国 王 而 挥， 前 提 是 他 保 证 尽 到 对 我 的 义 务。 
str_political_philosophy_quarrelsome|呸， 他 们 是 一 群 混 蛋。 我 会 让 干 我 坏 事 的 人 觉 得 后 悔 的。 
str_political_philosophy_pitiless|人 们 总 是 试 图 骗 取 别 人 应 得 的 东 西。 在 这 个 毫 无 诚 信 可 言 的 世 界 上， 每 个 人 都 要 警 惕 的 看 管 好 属 于 自 己 的 权 利。 
str_political_philosophy_cunning|好 吧， 这 个 世 界 是 残 酷 的， 面 对 残 酷 的 选 择 是 我 们 的 宿 命。 有 时 候 一 个 人 需 要 侍 奉 暴 君 以 维 护 和 平， 而 有 时 候 一 点 儿 必 要 的 叛 乱 才 能 让 君 王 保 持 公 正。 总 之， 时 势 就 是 一 切。 
str_political_philosophy_sadistic|我 的 哲 学 很 简 单： 做 狼 好 过 做 羊。 
str_political_philosophy_goodnatured|好 吧， 你 必 须 用 承 诺 来 坚 定 信 仰， 并 且 避 免 待 人 不 公。 有 时 候， 要 想 平 衡 各 方 确 实 很 难。 我 觉 得， 跟 你 信 任 的 人 站 在 一 边， 这 就 不 至 于 错 得 太 离 谱。 
str_political_philosophy_upstanding|国 王 和 贵 族 的 权 力 应 该 被 用 来 维 护 和 平， 避 免 所 有 人 相 互 对 抗， 然 而 又 不 能 蒙 蔽 人 民， 让 他 们 看 不 到 不 公 正 的 地 方。 
str_political_philosophy_roguish|嗯…… 我 觉 得 当 个 领 主 应 该 还 不 错 吧。 
str_political_philosophy_benefactor|一 个 好 的 统 治 者， 懂 得 对 所 有 臣 民 都 公 正 无 私。 就 个 人 来 说， 我 打 算 用 我 的 权 力， 让 生 活 在 我 的 领 地 里 的 人 们 过 得 更 好。 
str_political_philosophy_custodian|一 个 好 的 统 治 者 懂 得 创 造 条 件， 让 城 市 繁 荣 发 展， 人 民 安 居 乐 业。 就 个 人 来 说， 我 打 算 用 我 的 财 富 去 创 造 更 多 的 财 富， 既 为 我 自 己， 也 为 公 共 的 利 益。 
str_rebellion_prior_argument_very_favorable|我 已 经 听 到 了 一 些 支 持 你 的 候 选 人 获 得 王 位 的 意 见， 而 我 有 意 倾 向 这 些 意 见。 
str_rebellion_prior_argument_favorable|我 已 经 听 到 了 一 些 支 持 你 的 候 选 人 获 得 王 位 的 意 见， 而 我 有 意 倾 向 这 些 意 见。 
str_rebellion_prior_argument_unfavorable|我 已 经 听 到 了 一 些 支 持 你 的 候 选 人 获 得 王 位 的 意 见， 而 我 并 不 认 可 这 些 意 见。 
str_rebellion_prior_argument_very_unfavorable|我 已 经 听 到 了 一 些 支 持 你 的 候 选 人 获 得 王 位 的 意 见， 但 是 我 不 同 意 其 中 大 部 分 的 意 见。 
str_rebellion_rival_martial|{s49}你 的 盟 友 {s44}曾 经 怀 疑 我 的 荣 耀 与 勇 气。 我 好 不 容 易 得 到 了 在 战 场 上 和 他 面 对 面 的 机 会， 并 让 他 收 回 他 说 的 话。 
str_rebellion_rival_quarrelsome|{s49}你 在 帮 {s44}工 作。 他 是 个 狡 猾 的 狐 狸， 我 一 点 也 不 相 信 他。 
str_rebellion_rival_pitiless|{s49}你 似 乎 在 谋 求 {s44}的 帮 助—— 那 个 人 很 软 弱， 并 且 一 点 也 不 适 合 统 治 封 地， 而 且 我 一 直 很 讨 厌 那 个 人。 
str_rebellion_rival_cunning|{s49}{s44}， 那 个 人 已 经 加 入 了 你， 是 个 既 不 听 命 令 又 爱 吵 架， 而 且 没 有 责 任 心 的 人。 
str_rebellion_rival_sadistic|{s49}我 不 想 和 你 的 盟 友 {s44}一 起 作 战， 那 个 人 的 道 德 表 现 令 人 恶 心。 
str_rebellion_rival_goodnatured|{s49}我 不 想 勉 强 和 {s44}在 同 一 方， 那 个 人 有 点 残 忍 的 名 声。 
str_rebellion_rival_upstanding|{s49}你 的 盟 友 {s44}在 我 看 来 是 个 危 险， 不 可 靠， 而 且 非 常 不 道 德 的 人。 
str_rebellion_argument_favorable|我 尊 重 你 的 一 系 列 意 见 
str_rebellion_argument_neutral|我 发 现 你 的 一 系 列 意 见 不 是 很 吸 引 人 
str_rebellion_argument_unfavorable|我 没 有 觉 得 你 的 一 系 列 意 见 吸 引 人 
str_rebellion_persuasion_favorable|你 的 陈 述 有 说 服 力 
str_rebellion_persuasion_neutral|你 的 陈 述 有 道 理 
str_rebellion_persuasion_unfavorable|你 的 陈 述 不 令 人 相 信 
str_rebellion_relation_very_favorable|我 对 你 本 人 极 为 敬 重。 
str_rebellion_relation_favorable|我 了 解 并 且 敬 重 你 本 人。 
str_rebellion_relation_neutral|我 不 了 解 也 不 想 了 解 你。 
str_rebellion_relation_unfavorable|我 不 信 任 你。 
str_and_comma_3|此 外， 
str_but_comma_3|可 是， 
str_and_comma_1|， 并 且 
str_but_comma_1|， 但 是 
str_and_comma_2|。 而 且， 
str_but_comma_2|。 虽 然 如 此， 
str_rebellion_agree_martial|我 已 经 决 定。 我 要 支 持 {s45}作 为 合 法 的 继 承 人。 
str_rebellion_agree_quarrelsome|啊 哈， 我 已 经 考 虑 了 很 久。 我 不 是 很 喜 欢 {s46}。 让 我 们 去 夺 走 他 的 王 位。 
str_rebellion_agree_pitiless|你 很 走 运。 我 已 经 决 定 加 入 你。 请 别 让 我 以 后 后 悔 这 个 决 定。 
str_rebellion_agree_cunning|这 是 一 个 危 险 的 抉 择， 但 是 经 过 仔 细 考 虑， 我 已 经 决 定 加 入 你。 让 我 们 希 望 这 是 最 好 的 结 果。 
str_rebellion_agree_sadistic|我 已 经 决 定 了。 我 会 支 持 你 的 {s45}。 但 是 你 最 好 确 定 {reg3?她:他} 会 给 我 很 好 的 回 报！ 
str_rebellion_agree_goodnatured|好 的。 我 想 你 的 那 位 会 是 一 个 很 好 的 统 治 者。 我 要 加 入 你。 
str_rebellion_agree_upstanding|就 这 样 吧。 我 的 首 要 任 务 是 为 了 这 个 国 家， 不 让 她 被 无 法 之 徒 侵 占。 我 会 支 持 {s45}， 并 且 断 绝 我 对 {s46}的 效 忠。 如 果 我 做 错 了 也 希 望 上 天 能 够 原 谅 我。 
str_rebellion_refuse_martial|对 不 起。 {s45}有 一 个 很 好 的 主 张， 但 这 不 足 以 令 我 对 {s46}倒 戈。 我 将 依 然 忠 于 我 的 君 主。 
str_rebellion_refuse_quarrelsome|不。 你 拥 护 的 {s45}太 嫩 了， 没 有 能 力 管 理 这 片 领 地。 我 还 是 紧 随 {s46}。 
str_rebellion_agree_pitiless|不。 我 不 会 加 入 你 的 谋 反。 我 认 为 那 和 小 孩 子 发 脾 气 没 有 区 别， 拒 绝 一 个 {reg3?她:他} 认 为 应 该 是 {reg3?她 的:他 的} 玩 具。 我 将 坚 持 跟 着 {s46}， 他 的 统 治 能 力 得 到 过 良 好 证 明。 
str_rebellion_agree_cunning|对 不 起。 你 没 有 给 我 相 信 你 会 胜 利 的 理 由。 许 多 人 会 死， 我 可 不 想 那 样。 我 还 是 会 继 续 支 持 {s46}。 
str_rebellion_agree_sadistic|不。 我 不 会 参 与 你 的 小 游 戏。 你 想 夺 取 国 王 的 位 置， 但 我 想 你 只 会 得 到 一 个 断 头 台 的 位 置， 而 我 会 站 在 {s46}的 旁 边 看 着 刽 子 手 的 斧 头 落 下。 
str_rebellion_agree_goodnatured|对 不 起。 我 不 觉 得 对 {s46}倒 戈 是 正 确 的。 不 久 我 们 就 会 在 战 场 上 相 遇。 
str_rebellion_agree_upstanding|对 不 起。 {s45}的 主 张 并 不 足 以 让 我 发 动 这 片 领 土 上 可 怜 的 穷 人 进 行 全 民 骚 乱。 我 还 是 会 继 续 支 持 {s46}。 就 算 我 做 错 了 上 天 也 会 原 谅 我。 
str_talk_later_martial|现 在 不 是 谈 政 治 的 时 候！ 我 今 天 带 着 许 多 追 随 我 的 领 主 来， 他 们 都 全 副 武 装 准 备 战 斗。 你 最 好 做 好 准 备 开 始 作 战。 
str_talk_later_quarrelsome|你 指 望 现 在 和 我 谈 背 叛 我 君 主 的 事 情， 就 在 这 四 周 都 是 他 的 军 队 的 时 候？ 你 当 我 是 什 么？ 一 个 地 道 的 白 痴？ 
str_talk_later_pitiless|闭 嘴！ 现 在 四 周 都 是 我 方 的 军 队， 此 时 此 地， 我 怎 么 会 讨 论 这 件 事。 
str_talk_later_cunning|此 时 此 地 完 全 不 适 合 进 行 这 样 一 场 谈 话。 也 许 我 们 可 以 过 一 会 或 者 在 其 它 地 方 再 谈， 但 现 在 我 们 依 然 是 敌 人。 
str_talk_later_sadistic|你 应 该 闭 上 你 的 鸟 嘴！ 你 能 想 像 如 果 其 他 的 封 臣 听 到 我 们 讨 论 叛 国 的 事 情， 那 个 后 果 有 多 严 重 吗？ 
str_talk_later_goodnatured|你 想 和 我 谈 叛 国 的 事 情 是 吗？ 还 是 等 我 们 未 被 我 君 主 的 军 队 包 围 的 时 候 再 谈 吧， 那 时 候 我 将 听 听 你 要 说 什 么。 
str_talk_later_upstanding|不 管 我 对 王 位 更 替 的 合 法 性 怎 么 看， 我 也 不 会 在 此 时 此 地 拿 出 来 讨 论。 如 果 我 们 下 次 能 私 下 见 面 的 话， 我 将 好 好 听 听 你 的 想 法。 但 是 现 在， 请 把 我 当 作 是 你 的 敌 人。 
str_gossip_about_character_default|据 说 {s6}没 什 么 有 趣 的 个 性。 
str_gossip_about_character_martial|据 说 {s6}是 个 战 争 狂。 
str_gossip_about_character_quarrelsome|据 说 {s6}很 快 就 要 和 另 一 个 领 主 开 战， 因 为 那 个 人 拿 他 的 鼻 子 开 玩 笑。 
str_gossip_about_character_selfrighteous|我 听 说 {s6}处 死 了 一 名 随 从 因 为 那 个 不 幸 的 家 伙 在 他 的 猎 场 里 杀 死 了 一 头 鹿。 
str_gossip_about_character_cunning|据 说 {s6}是 个 狡 猾 的 对 手。 
str_gossip_about_character_sadistic|据 说 {s6}喜 欢 折 磨 他 的 敌 人。 我 可 不 想 和 他 作 对。 
str_gossip_about_character_goodnatured|据 说 {s6}是 个 好 人， 很 善 待 他 领 地 上 的 人 民。 所 作 所 为 比 大 多 数 贵 族 都 好。 
str_gossip_about_character_upstanding|人 们 都 说 替 {s6}工 作 是 件 不 错 的 事。 他 对 他 的 属 下 很 好， 如 果 他 们 干 的 好 还 会 有 回 报。 
str_latest_rumor|你 听 到 关 于 {s6}的 最 近 一 次 传 闻 是： 
str_changed_my_mind_martial|不 过， 你 的 滔 滔 雄 辩 让 我 重 新 考 虑 了 我 的 立 场。 
str_changed_my_mind_quarrelsome|可 我 觉 得 你 的 话 好 歹 把 我 绕 进 去 了， 你 这 混 蛋。 我 听 着 呢。 
str_changed_my_mind_pitiless|可 你 像 这 样 恳 求 我， 我 还 是 勉 为 其 难， 重 新 考 虑 下 吧。 
str_changed_my_mind_cunning|可 是 你 看， 你 还 真 是 个 能 说 会 道 的 混 蛋， 让 人 印 象 深 刻。 我 听 着 呢。 
str_changed_my_mind_sadistic|可 你 真 是 巧 舌 如 簧， 替 自 己 吹 得 天 花 乱 坠 的， 让 我 还 不 能 马 上 拒 绝 你。 
str_changed_my_mind_goodnatured|但 是 你 说 得 很 好， 所 以 我 会 试 着 不 抱 偏 见。 
str_changed_my_mind_upstanding|不 过， 你 的 观 点 很 有 道 理。 我 听 着 呢。 
str_swadian_rebellion_pretender_intro|我 是 艾 索 娜， 斯 瓦 迪 亚 的 合 法 女 王。 
str_vaegir_rebellion_pretender_intro|我 叫 维 迪 姆。 有 人 叫 我“ 杂 种”。 我 是 维 吉 亚 的 一 名 王 子， 但 是 根 据 我 的 权 利 我 应 该 做 他 们 的 国 王， 而 不 是 我 的 堂 兄 弟 亚 罗 格 尔 克。 
str_khergit_rebellion_pretender_intro|我 是 达 斯 塔 姆 可 汗， 是 杰 拉 克 可 汗 的 儿 子， 也 是 库 吉 特 的 合 法 可 汗。 
str_nord_rebellion_pretender_intro|我 是 先 知 勒 斯 汶， 卡 拉 迪 亚 诺 德 人 合 法 国 王 老 哈 克 瑞 姆 的 儿 子。 
str_rhodok_rebellion_pretender_intro|我 是 凯 斯 托 领 主， 罗 多 克 的 合 法 国 王， 我 将 推 翻 暴 君， 带 给 罗 多 克 人 民 自 由。 
str_sarranid_rebellion_pretender_intro|我 是 阿 瓦 尔， 别 人 都 叫 我 珍 珠 之 光， 萨 兰 德 人 的 母 亲， 他 们 的 合 法 女 王。 
str_swadian_rebellion_pretender_story_1|我 是 伊 斯 特 瑞 奇 国 王 唯 一 的 孩 子。 虽 然 我 是 女 性， 但 他 像 对 待 儿 子 一 样 爱 我， 父 亲 多 次 在 显 贵 们 面 前 宣 称 我 是 他 的 继 承 人， 没 人 怀 疑 他 的 决 定。 没 有 法 律 禁 止 一 个 女 人 作 为 统 治 者， 是 的， 我 们 斯 瓦 迪 亚 人 一 直 在 传 颂 着 那 些 在 遥 远 的 过 去 统 治 我 们 的 女 勇 士。 
str_vaegir_rebellion_pretender_story_1|在 我 小 时 候 父 亲 就 去 世 了， 他 的 兄 弟 贝 尔 勒 克 作 为 摄 政 王 照 顾 我。 这 个 篡 位 者 并 没 有 打 算 将 王 冠 给 我， 他 利 用 权 力 指 控 我 母 亲 通 奸， 同 时 声 称 我 不 是 父 亲 所 生， 母 亲 被 以 叛 国 罪 处 决， 而 我 被 宣 布 为 私 生 子。 
str_khergit_rebellion_pretender_story_1|塞 加 可 汗 和 我 是 老 可 汗 杰 拉 克 同 父 异 母 的 兄 弟。 我 是 幼 子， 但 所 有 认 识 老 可 汗 的 人 都 会 证 明 父 亲 最 器 重 我， 因 为 我 对 国 家 有 强 烈 的 责 任 感。 而 塞 加 整 天 忙 于 狩 猎 和 宴 会， 借 此 笼 络 了 大 部 分 父 亲 手 下 那 些 自 甘 堕 落 的 将 军。 
str_nord_rebellion_pretender_story_1|我 被 称 为 先 知， 是 因 为 我 游 历 了 漫 长 的 路 途， 即 使 以 诺 德 人 的 标 准 来 说 也 很 漫 长， 就 是 为 了 寻 求 知 识。 在 我 年 轻 的 时 候， 父 亲 将 我 送 到 海 外 旅 行， 在 很 多 宫 廷 和 大 学 里 学 习。 你 需 要 明 白， 一 旦 诺 德 人 将 自 己 称 为 卡 拉 迪 亚 帝 国 的 后 人， 那 么 他 们 一 定 要 行 动 起 来， 去 了 解 法 律 和 文 书 工 作， 而 不 要 只 满 足 于 战 斗 、 掠 夺 和 美 酒。 
str_rhodok_rebellion_pretender_story_1|罗 多 克 人 是 自 由 之 民， 不 是 任 何 世 袭 君 主 的 奴 隶。 国 王 是 从 主 要 的 几 个 贵 族 家 族 中 产 生， 杰 尔 喀 拉， 维 鲁 加 和 亚 伦 的 大 部 分 贵 族 组 成 议 会 负 责 选 出 国 王。 议 会 在 杰 尔 喀 拉 附 近 的 一 块 平 原 召 开， 评 议 期 间 禁 止 一 切 人 携 带 武 器， 否 则 将 会 被 处 死。 
str_sarranid_rebellion_pretender_story_1|我 出 生 于 一 片 遥 远 大 陆 上 一 个 地 位 卑 下 的 家 庭， 在 我 还 是 一 个 小 女 孩 的 时 候 成 为 了 奴 隶—— 但 这 没 什 么 好 羞 愧 的， 我 们 许 多 国 王 的 母 亲 都 曾 是 奴 隶。 老 苏 丹，艾 扎 尔， 在 市 场 中 发 现 了 我 并 被 我 的 美 貌 所 吸 引。 我 就 此 被 收 入 宫 中， 而 后 他 逐 渐 发 现 并 看 重 我 的 才 智。 随 着 他 逐 渐 老 去， 他 准 许 我 治 理 他 的 国 家。 一 开 始 我 还 只 是 管 理 宫 廷 事 务， 后 来 开 始 处 理 国 政。 
str_swadian_rebellion_pretender_story_2|当 父 亲 驾 崩 后， 他 的 表 亲 哈 劳 斯 对 贵 族 进 行 了 劝 说， 认 为 没 有 一 个 斯 瓦 迪 亚 国 王 会 指 定 女 人 作 为 继 承 人， 他 指 责 父 亲 是 因 为 疯 了 才 任 命 我 为 国 王， 也 因 此 我 的 权 力 并 不 合 法， 在 这 样 的 情 况 下， 他 是 我 父 亲 最 亲 近 的 男 性 亲 戚， 理 应 继 承 王 位。 
str_vaegir_rebellion_pretender_story_2|我 被 一 个 忠 诚 的 仆 人 偷 偷 带 到 了 国 外， 现 在 我 长 大 了， 我 回 来 夺 回 我 应 有 的 权 力。 贝 尔 勒 克 在 他 背 叛 不 久 后 就 死 了， 毫 无 疑 问， 这 是 天 意！ 他 的 儿 子 亚 罗 格 尔 克 现 在 自 封 为 国 王， 但 他 的 声 明 充 满 了 恶 臭， 他 和 他 父 亲 一 样 是 篡 位 者， 而 我 将 推 翻 他 的 统 治。 
str_khergit_rebellion_pretender_story_2|根 据 库 吉 特 的 传 统， 当 一 个 男 人 去 世 后， 他 的 遗 产 将 平 均 分 给 他 的 所 有 儿 子， 可 汗 也 是 如 此。 但 我 得 知 父 亲 驾 崩 的 消 息 时， 我 正 在 巡 视 边 境， 这 时 我 立 即 返 回 了 图 尔 加， 准 备 给 予 塞 加 他 应 得 的 部 分， 并 和 他 平 分 汗 国。 但 当 我 到 达 时， 我 得 知 他 已 经 带 领 支 持 者 冲 进 了 宫 廷， 宣 称 他 为 唯 一 的 可 汗。 
str_nord_rebellion_pretender_story_2|父 亲 驾 崩 时 我 已 经 完 成 了 学 业， 但 我 赶 回 去 继 承 王 位 时， 我 的 船 遭 遇 了 风 暴。 父 亲 手 下 一 个 叫 拉 格 纳 的 领 主 抓 住 了 这 个 机 会， 传 播 我 遇 难 的 谣 言。 他 招 集 了 自 己 的 支 持 者， 宣 称 自 己 为 国 王， 在 过 去 几 年 时 间 不 断 强 化 自 己 的 权 力。 
str_rhodok_rebellion_pretender_story_2|在 最 后 的 选 举 中 有 两 个 候 选 人， 我 和 葛 瑞 福 斯 领 主。 在 议 会 评 议 时， 葛 瑞 福 斯 手 持 武 器 闯 了 进 来， 告 诉 贵 族 们 一 队 斯 瓦 迪 亚 部 队 正 冲 向 议 会 所 在 地， 老 实 说， 这 是 事 实， 葛 瑞 福 斯 告 诉 贵 族， 如 果 自 己 不 能 当 国 王， 那 么 就 将 率 领 部 队 离 开， 留 下 贵 族 们 面 对 敌 人。 
str_sarranid_rebellion_pretender_story_2|当 艾 扎 尔 苏 丹 去 世 之 后， 貌 似 国 内 的 酋 长 们 都 支 持 我 继 承 王 位， 如 此 就 可 以 免 除 内 战 的 风 险。 不 过 他 们 坚 持 我 必 须 下 嫁 他 们 中 的 一 个， 拜 巴 克 酋 长。 酋 长 们 随 后 联 合 起 来 向 我 们 宣 誓 效 忠——拜 巴 克 掌 握 军 权， 我 则 成 为 国 母。 在 我 们 携 手 共 治 的 那 段 时 间 里， 我 们 的 国 度 欣 欣 向 荣。 
str_swadian_rebellion_pretender_story_3|我 得 承 认， 诅 咒 哈 劳 斯 和 听 命 于 他 的 叛 国 者 不 会 起 任 何 作 用， 但 我 同 样 相 信， 任 由 他 操 纵 的 地 方 官 是 被 收 买 了 的。 这 都 无 所 谓， 我 将 召 集 一 支 忠 诚 的 军 队， 以 对 老 国 王 的 怀 念 和 意 志 为 荣 的 军 队。 如 果 任 何 人 怀 疑 女 人 能 行 使 权 力， 那 我 将 会 以 推 翻 哈 劳 斯 的 非 法 王 位 作 为 证 明。 
str_vaegir_rebellion_pretender_story_3|我 将 忍 受“ 私 生 子” 的 污 名， 直 到 在 所 有 维 吉 亚 人 面 前 恢 复 我 权 力， 以 此 提 醒 自 己 必 须 坚 持 下 去。 
str_khergit_rebellion_pretender_story_3|我 的 兄 弟 认 为 库 吉 特 人 只 会 听 命 于 强 者： 一 个 想 要 什 么 就 能 得 到 什 么 的 领 袖。 但 是 我 想 他 曲 解 了 我 的 人 民 的 意 图—— 我 们 钦 佩 一 个 坚 定 的 领 袖， 但 是 我 们 更 需 要 一 个 正 确 的 领 袖， 并 且 我 们 知 道 一 个 不 尊 重 他 兄 弟 的 权 利 的 人 是 不 会 尊 重 他 的 追 随 者 的 权 利 的。 
str_nord_rebellion_pretender_story_3|所 以 我 仍 被 放 逐 中—— 只 是 现 在 我 不 再 寻 找 遥 远 大 陆 的 贤 人 来 指 导 我 的 智 慧， 而 是 勇 士， 来 和 我 一 起 回 到 诺 德 的 领 地 夺 回 我 的 王 位。 如 果 拉 格 纳 怀 疑 我 管 理 的 才 能， 那 么 让 他 面 对 面 地 和 我 说， 我 们 将 会 在 战 场 上 对 话。 作 为 一 个 战 士 能 成 为 一 个 学 者， 学 者 亦 能 成 为 战 士， 而 我 认 为， 只 有 能 将 二 者 合 二 为 一 的 人 才 是 真 正 的 王 者！ 
str_rhodok_rebellion_pretender_story_3|很 好， 葛 瑞 福 斯 打 败 了 斯 瓦 迪 亚 人， 作 为 一 个 罗 多 克 人， 我 很 高 兴。 但 我 当 上 国 王 时， 我 会 将 胜 利 花 环 戴 在 他 的 头 上， 之 后， 我 会 将 他 的 头 从 他 肩 膀 上 扭 下 来， 作 为 他 背 叛 罗 多 克 联 邦 和 神 圣 法 规 的 代 价。 
str_sarranid_rebellion_pretender_story_3|但 不 幸 的 是，拜 巴 克 很 快 在 一 场 和 库 吉 特 人 的 遭 遇 战 中 阵 亡。 本 来 在 我 知 晓 这 个 噩 耗 的 同 时， 我 就 可 以 准 备 好 抵 御 一 切 可 能 的 背 叛。 可 惜， 我 丈 夫 那 不 怀 好 意 的 侄 子 哈 基 姆 带 着 他 的 手 下 马 不 停 蹄 前 来 逼 宫， 将 我 赶 出 宫 来， 自 封 苏 丹。 就 是 这 样—— 我 要 集 结 起 一 支 我 自 己 的 军 队， 以 报 答 他 的“ 好 意”。 
str_swadian_rebellion_monarch_response_1|艾 索 娜 认 为 她 应 该 是 斯 瓦 迪 亚 的 国 王？ 伊 斯 特 瑞 奇 国 王 太 溺 爱 他 的 女 儿 了， 但 一 个 善 良 的 国 王 对 人 民 来 说 是 一 种 灾 难。 艾 索 娜 也 许 告 诉 你 什 么 古 代 女 勇 士 的 故 事， 但 你 也 许 能 记 得， 所 有 的 传 说 都 只 有 一 种 结 局—— 斯 瓦 迪 亚 被 卡 拉 德 帝 国 的 军 队 蹂 躏。 
str_vaegir_rebellion_monarch_response_1|如 果 维 迪 姆 带 着 和 平 而 来， 我 会 给 他 爵 位 和 荣 誉， 他 会 成 为 我 最 大 的 诸 侯， 而 如 果 他 带 着 军 队 而 来， 我 会 用 铁 链 绑 住 他， 让 他 在 我 面 前 承 认 我 是 合 法 的 君 主， 然 后 割 掉 他 的 舌 头， 让 他 不 能 反 悔。 
str_khergit_rebellion_monarch_response_1|我 的 兄 弟 达 斯 塔 姆 也 许 告 诉 过 你 他 那 套 将 汗 国 分 割 的 主 张， 他 以 为 这 是 羊 群？ 让 我 告 诉 你 一 些 事， 自 从 库 吉 特 人 在 这 片 土 地 上 定 居 下 来， 所 有 可 汗 去 世 后 只 会 有 一 种 结 果—— 土 地 被 分 割， 可 汗 的 儿 子 们 互 相 残 杀， 最 后 由 最 强 大 的 那 一 个 取 得 所 有 一 切。 我 这 样 做 是 为 了 避 免 内 战。 
str_nord_rebellion_monarch_response_1|勒 斯 汶 先 知？ 作 家 勒 斯 汶 还 差 不 多。 也 许 你 听 说 过 这 句 话：“ 国 王 是 小 孩， 人 民 遭 不 幸。” 更 不 幸 的 是 国 王 是 个 学 生。 你 想 让 统 治 诺 德 人 的 是 个 嘴 上 无 毛 的 小 子？ 一 个 连 剑 把 都 握 不 紧 的 小 子？ 一 个 还 从 来 都 没 站 在 盾 牌 之 后 的 小 子？ 如 果 勒 斯 汶 当 了 国 王， 他 领 主 们 会 嘲 笑 他 那 张 娃 娃 脸！ 
str_rhodok_rebellion_monarch_response_1|毫 无 疑 问， 凯 斯 托 领 主 告 诉 了 你 一 些 事， 比 如 我 干 扰 了 国 王 选 举， 破 坏 了 神 圣 的 罗 多 克 法 规 之 类。 很 好， 让 我 告 诉 你 城 镇 的 候 选 人 都 干 了 些 什 么， 他 们 拖 着 慢 长 的 语 气 谈 论 我 们 古 老 的 自 由 传 统， 然 后， 选 一 个 呆 在 庄 园， 品 着 好 酒， 答 应 帮 贵 族 们 收 税 的 国 王！  
str_sarranid_rebellion_monarch_response_1|我 们 的 学 者 长 久 以 来 都 同 意 政 治 中 有 一 个 首 要 原 则。 人 们 应 当 服 从 统 治 者 的 权 力， 因 为 暴 政 总 好 过 内 乱。 为 此 我 接 受 了 我 原 本 宣 誓 效 忠 的， 属 于 拜 巴 克 和 阿 瓦 尔 两 人 的 权 力。 
str_swadian_rebellion_monarch_response_2|那 个 哭 述 着 被 王 位 拒 绝 的 斯 瓦 迪 亚 公 主 应 该 有 这 么 一 个 下 场， 她 应 该 去 做 一 个 牧 羊 女， 然 后 被 一 队 维 吉 亚 骑 兵 抓 住， 卖 到 禅 达 的 奴 隶 市 场。 当 我 们 好 战 的 邻 居 挂 了 的 时 候， 你 给 我 讲 讲 女 王 的 往 事， 然 后 我 们 就 和 平 了。 
str_vaegir_rebellion_monarch_response_2|不 管 我 父 亲 怎 么 获 得 权 力 都 无 所 谓， 现 在 我 继 承 了 王 位 就 足 够 了。 如 果 所 有 过 去 的 事 都 要 翻 出 来， 所 有 继 承 权 都 要 随 时 拿 出 来 讨 论 一 番， 王 位 制 度 也 就 终 结 了， 我 们 面 临 的 将 会 是 一 场 内 战。 
