str_no_string|,
str_surrender_demand_upstanding|Bizimle savaşabilirsin, ama bu durumda büyük ihtimalle adamlarının çoğu ölür ve sen de kaybedersin. Teslim ol da gereksiz yere kan akmasın.
str_surrender_offer_default|Dur! Teslim oluyorum!
str_surrender_offer_martial|Dur! Teslim oluyorum!
str_surrender_offer_quarrelsome|Yeter! Bugün sen kazandın köpek! Ah, lanet olsun.
str_surrender_offer_pitiless|Teslim oluyorum! Sen kazandın. Lanet olsun bu güne!
str_surrender_offer_cunning|Dur! Teslim oluyorum!
str_surrender_offer_sadistic|Pes ediyorum! Pes ediyorum! Köpeklerini geri çağır!
str_surrender_offer_goodnatured|Teslim oluyorum! Zaferinizi kutlarım, {efendim/hanımım}!
str_surrender_offer_upstanding|Teslim oluyorum! Kendinize de bana da savaşın şerefini yaşatın.
str_lord_declines_negotiation_offer_default|Olabilir, fakat ben savaşmayı yeğlerim
str_lord_declines_negotiation_offer_martial|Olabilir, fakat benim görevim sizinle savaşmaktır, teslim olmak değil
str_lord_declines_negotiation_offer_quarrelsome|Hah! Tabii ki seninle savaşacağım
str_lord_declines_negotiation_offer_pitiless|Neden umursayayım ki? Seninle savaşacağım.
str_lord_declines_negotiation_offer_cunning|Ahh. Ne yazık ki, anlarsın ya, seninle savaşacağım
str_lord_declines_negotiation_offer_sadistic|Ne dediğine dikkat et! Bana yalvarırken lazım olacak çünkü
str_lord_declines_negotiation_offer_goodnatured|Üzgünüm -- Gitmene izin veremem.
str_lord_declines_negotiation_offer_upstanding|Olabilir, fakat lordlarıma olan sorumluluğum sizinle savaşmamı gerektirir, teslim olmayı değil
str_prisoner_released_default|Size minnettarım, {beyim/hanımım}. Bu nezaketi unutmayacağım.
str_prisoner_released_martial|Gerçekten de şerefli bir {adamsın/kadınsın}, {efendim/hanımım}. Bunu unutmayacağım.
str_prisoner_released_quarrelsome|Ben özgür müyüm? Ee.. pekala, görüşmek üzere o zaman!
str_prisoner_released_pitiless|Teşekkürler. Nihayet yenilgiyi tattığında ölümünün ani ve merhametli olmasını dileyeceğim. Tabii ki bize katılmak istersen durum başka... Hoşçakal, şimdilik.
str_prisoner_released_cunning|Öyle mi? Sen iyi bir {adamsın/kadınsın}. Hakkını ödemek için bir yol bulmam gerek.
str_prisoner_released_sadistic|Öyle mi? Zalimliğin o kadar keskin ki, beni zincirler içinde görmektense özgür ama aşağılanan biri olarak görmek daha çok hoşuna giderdi. Zaferinin tadını çıkar!
str_prisoner_released_goodnatured|Gerçekten de onurlu bir {adamsın/kadınsın}, {beyim/hanımım}. Bunu unutmayacağım.
str_prisoner_released_upstanding|Gerçekten de onurlu bir {adamsın/kadınsın}, {beyim/hanımım}. Bunu unutmayacağım.
str_enemy_meet_default|Böyle silah kuşanmış karşıma geldin, kimsin sen?
str_enemy_meet_martial|İsminiz nedir, {beyim/hanımım}? Eğer savaşa tutuşursak kiminle dövüştüğümü bileyim.
str_enemy_meet_quarrelsome|Sen de kimsin be?
str_enemy_meet_pitiless|Sen kimsin? Konuş! Konuş da kimi doğrayacağımı bileyim!
str_enemy_meet_cunning|Bana adını söyle. Düşmanını tanımak her zaman iyidir.
str_enemy_meet_sadistic|Sen kimsin? Dilini kesmeden önce konuş!
str_enemy_meet_goodnatured|İsminiz nedir, {beyim/hanımım}? Eğer savaşa tutuşursak kiminle dövüştüğümü bileyim.
str_enemy_meet_upstanding|Haklı davamızla aramıza giren densiz de kimmiş?
str_battle_won_default|Bugün çok faydalı bir müttefik olduğunu kanıtladın.
str_battle_won_martial|Savaş meydanında cesaretini göstermekten daha büyük talih yoktur.
str_battle_won_quarrelsome|Hah! O heriflere günlerini gösterdik değil mi?
str_battle_won_pitiless|Beraber düşmanlarımıza isimlerimizi duyduklarında korkmaları gerektiğini öğreteceğiz!
str_battle_won_cunning|Şimdi bastırmaya devam etmeliyiz. Davamızı sürdürmeliyiz ki bugün dökülen kanlar amaçsızca akmış olmasın.
str_battle_won_sadistic|Tamam şimdi de ölülerini soyup kargaların parçalaması için açıkta bırakalım, görenler de bize karşı çıkanın başına neler gelirmiş görsün.
str_battle_won_goodnatured|Bu iyi bir savaştı! Zafer coşkusu kadar keyifli birşey yok değil mi?
str_battle_won_upstanding|Bize bu zaferi verdiği için Tanrılar katına şükredelim sonra da bugün burada ölen iyi adamlar için yas tutalım.
str_battle_won_grudging_default|Bugün savaş meydanındaki gidişatı tersine çevirdin. Senin hakkında ne düşünürsem düşüneyim cesaretine söylenebilecek hiçbir şey yok!
str_battle_won_grudging_martial|{playername}, geçmişte işleri ne kadar karıştırmış olursan ol, bugün değerini ispatladın.
str_battle_won_grudging_quarrelsome|Hmm. Normalde o suratın görmek istediğim birşey değil ama sanırım bugün burada yaptıkların için sana teşekkür etmem gerekiyor.
str_battle_won_grudging_pitiless|Bugün buradaki yardımın çok değerliydi. Kibarlığından dolayı gelip yardım ettiğini düşünemiyorum ama yinede sana teşekkür ederim.
str_battle_won_grudging_cunning|İhtiyaca düştüğüm anda yardımıma geldiğin için sana teşekkür etmemek bana yakışmayan bir davranış olurdu. Yani... Teşekkürler, minnettarım.
str_battle_won_grudging_sadistic|Aman! Ne dokunaklı! {playername} yardımıma yetişmiş!
str_battle_won_grudging_goodnatured|{playername}! Geçmişte çok iyi geçindiğimizi söyleyemeyeceğim ama bugün iyi iş çıkardın. Teşekkürlerimi sunuyorum!
str_battle_won_grudging_upstanding|Sanırım hakkında yanılmışım. Tam zamanında yetiştin. Müteşekkirim.
str_battle_won_unfriendly_default|Demek geldin. Eh, geç olsun güç olmasın...
str_battle_won_unfriendly_martial|Epey münakaşalarımız oldu geçmişte ancak şimdi sadece zaferimizi kutlayalım.
str_battle_won_unfriendly_quarrelsome|Eğer orada durmuş teşekkür bekliyorsan daha çok beklersin. Senin yardımına falan ihtiyacım yoktu ama sanırım senin de yapacak daha önemli bir işin yoktu, doğru mu?
str_battle_won_unfriendly_pitiless|Buraya aslanın leşine yaklaşan bir çakal gibi geldin. Pekala, ganimetlere de davran bakalım. Seni durduracak değilim.
str_battle_won_unfriendly_cunning|{playername}... Eh, gelişin faydalı olmadı diyemeyeceğim ama seni görmekten memnun olduğumu da söyleyemeyeceğim.
str_battle_won_unfriendly_sadistic|Uzak dur seni leş kargası! Her ne kadar kendine pay almaya çalışsanda bu beni zaferim! 
str_battle_won_unfriendly_goodnatured|Demek sensin. Eh, sanırım şimdi sana teşekkür etmeliyim.
str_battle_won_unfriendly_upstanding|Yardımcı olduğun için teşekkür ederim. Şimdi pişman olacağım birşeyler söylemeden önce, gidiyorum.
str_troop_train_request_default|Onları forma sokacak senin gibi birine ihtiyacım var.
str_troop_train_request_martial|Onlara yiğitliğin anlamını öğretecek birine ihtiyaçları var.
str_troop_train_request_quarrelsome|Tembel şişko herifler! Midemi bulandırıyorlar.
str_troop_train_request_pitiless|Benden çok düşmandan korkuyorlar. Böyle olmayacak.
str_troop_train_request_cunning|Ama adamlar, aynı bir kılıç gibi ateşle ıslah olup ateşle sertleşirler.
str_troop_train_request_sadistic|İçlerine cesareti kamçılayacak birine ihtiyaçları var.
str_troop_train_request_goodnatured|Yeterince iyi gençler, ama korkarım henüz savaş için hazır hale gelemediler.
str_troop_train_request_upstanding|Onları şimdiki halleriyle savaşa sokmak cinayetten farksız.
str_unprovoked_attack_default|Ne? Neden bize saldırıyorsun? Konuş alçak!
str_unprovoked_attack_martial|Bir düelloya karşı değilim ama bize saldırma sebebini öğrenmek isterim.
str_unprovoked_attack_quarrelsome|Büyük bir hata yapıyorsun, {evlat/kızım}. Ne yaptığını sanıyorsun ki?
str_unprovoked_attack_pitiless|Demek öyle?Gerçekten bugün ölmek istiyorsan bu isteğini seve seve yerine getiririm ama ne başarmayı düşündüğünü de merak etmedim değil.
str_unprovoked_attack_cunning|Gerçekten mi? Hiç akıllıca hareket etmişe benzemiyorsun. Bu şekilde eline ne geçeceğini umuyorsun ki?
str_unprovoked_attack_sadistic|Bu da ne? Gözlerinin oyulması hoşuna mı gidecek?
str_unprovoked_attack_goodnatured|Bunu neden yapıyorsun? Aramızda hiç bir sorun yok ki {efendi/hanım}.
str_unprovoked_attack_upstanding|Bunu kışkırtılmadan yapılmış bir saldırı kabul ediyorum ve kralına ileteceğim! Bunu neden yapıyorsun?
str_unnecessary_attack_default|Eğer işi oraya sürüklersen seni tereddüt etmeden keserim ama sana şimdi hemen dönüp gitme şansını vereceğim.
str_unnecessary_attack_martial|Meydan okumanı severek kabul ederim, {bayım/hanımefendi}, ancak yine de bu işi tekrar düşünmeniz için size biraz zaman vereceğim.
str_unnecessary_attack_quarrelsome|Peh! Bu saçmalık için hiç vaktim yok. Çekil yolumdan.
str_unnecessary_attack_pitiless|Bugün merhametli günümdeyim, söylediklerini duymamazlıktan geleceğim.
str_unnecessary_attack_cunning|Beni kendine düşman etmekle ne amaçladığını bilemiyorum. Belki sessizce uzaklaşsan daha iyi olur.
str_unnecessary_attack_sadistic|Senin gibi bir solucanla zaman kaybetmeyeceğim. Çekil yolumdan!
str_unnecessary_attack_goodnatured|Bu şekilde bir husumet başlatmakla ne amaçladığınızı çıkaramadım, {bayım/hanımefendi}. Hala daha dönüp gidebilirsiniz.
str_unnecessary_attack_upstanding|Eğer arzu ettiğin şey savaşmaksa, savaşırız. Fakat yine de sana geriye çekilme şansı veriyorum.
str_lord_challenged_default|Nasıl istersen, ölmeye hazırlan!
str_lord_challenged_martial|Öyle olsun. Savun kendini!
str_lord_challenged_quarrelsome|Seni yüzsüz enik! Ezip geçeceğim seni!
str_lord_challenged_pitiless|Ölmeyi bu kadar çok istiyorsan, bu isteğini yerine getirmekten başka seçeneğim kalmıyor.
str_lord_challenged_cunning|Bana başka seçenek bırakmadın...
str_lord_challenged_sadistic|Seni pislik! Hiç doğmamış olmayı dileyeceksin!
str_lord_challenged_goodnatured|Pekala. Bir çarpışmayı önleyebileceğimi ummuştum ama bana başka bir seçenek bırakmadın.
str_lord_challenged_upstanding|Öyle olsun. Mantıklıca davranmamış olman beni üzdü.
str_lord_mission_failed_default|Hayal kırıklığına uğradım, ama eminim ki bunun bedelini ödeyecek pek çok fırsatın olacak.
str_lord_mission_failed_martial|Almak için çaba gösterdiğin bir görevi becerememek onurluca değildir ama senin sözüne güveneceğim.
str_lord_mission_failed_quarrelsome|Başaramadın mı? Peh! Senin gibilerden de ancak bu kadarı beklenirdi!
str_lord_mission_failed_pitiless|Başaramadın mı? Pekala. Beni hayal kırıklığına uğrattın. Bu hiç akıllıca bir hareket olmadı.
str_lord_mission_failed_cunning|Hayal kırıklığına uğradım ama her zaman şansın yaver gitmesini bekleyemeyiz değil mi?
str_lord_mission_failed_sadistic|Öyle mi? Beni başarısızlığa uğratanların çoğu pişman olduklarını söyleyebilecek kadar uzun yaşamazlar.
str_lord_mission_failed_goodnatured|Ah evet. Zaten uzak bir ihtimaldi. Yine de uğraştığın için teşekkür ederim.
str_lord_mission_failed_upstanding|Pekala, eminim elinden geleni yapmışsındır.
str_lord_follow_refusal_default|Seni takip mi edeyim? Konumunu unutmuşsun, {efendi/hanım}.
str_lord_follow_refusal_martial|Eğer bir gün kendini yiğit ve şerefli bir savaşçı olarak kanıtlarsan, belki o zaman seni izlerim. Fakat o gün bugün değil.
str_lord_follow_refusal_quarrelsome|Senin gibi birini izlemek mi? Hiç sanmıyorum.
str_lord_follow_refusal_pitiless|Benim gibi lordlar, senin gibi insanların izinden gitmez {bayım/hanımefendi}.
str_lord_follow_refusal_cunning|Önce beni felakete sürüklemeyecek bir {adam/kadın} olduğunu kanıtla. Belki o zaman seni izlerim.
str_lord_follow_refusal_sadistic|Kesinlikle hayır! Aslında, siz beni takip etmelisiniz, tıpkı sopa yemiş bir köpeğin efendisini takip etmesi gibi.
str_lord_follow_refusal_goodnatured|Hımm, şu an ayak işleriyle biraz fazla meşgulüm. Belki başka bir zamana.
str_lord_follow_refusal_upstanding|İlk önce bana yolundan gidilmeye değer biri olduğunu göster, sonrasında belki seni takip ederim.
str_lord_insult_default|şırfıntı
str_lord_insult_martial|şerefsiz üçkağıtçı
str_lord_insult_quarrelsome|pislik yuvası herif
str_lord_insult_pitiless|soysuz solucan
str_lord_insult_cunning|öküz herif
str_lord_insult_sadistic|sümüklü it
str_lord_insult_goodnatured|kaba adam
str_lord_insult_upstanding|rezil herif
str_lord_derogatory_default|adi rezil
str_lord_derogatory_martial|inatçı
str_lord_derogatory_quarrelsome|kavgacı ve huysuz
str_lord_derogatory_pitiless|zalim, gaddar
str_lord_derogatory_cunning|ahlaksız ve bencil
str_lord_derogatory_sadistic|aşağılık ve namussuz
str_lord_derogatory_goodnatured|çaresiz saf
str_lord_derogatory_upstanding|dikbaşlı ve riyakâr
str_lord_derogatory_result|yıkım getiren
str_lord_derogatory_martial_action|düşmana düşünmeden plan kurmadan saldır, ve adamlarının hayatlarını tehlikeye at
str_lord_derogatory_quarrelsome_action|diğer lordlarla didiş dur, ve bizi birbirimize düşür
str_lord_derogatory_pitiles_action|alt sınıfla arkadaşlık et, onları ayaklanmaya yönelt
str_lord_derogatory_cunning_action|düşmanla anlaş ve sırtımızdan bıçakla
str_lord_derogatory_sadistic_action|davamıza ve ülkemize utanç getir
str_lord_derogatory_goodnatured_action|düşmanlarımızla savaşacağına, hepsine merhamet et
str_lord_derogatory_upstanding_action|abartılı hislerini ülke menfaatinin önüne koy
str_rebellion_dilemma_martial|{s45} açıkça haksızlığa uğramış. Sadakatimi {s46} üzerine bağlamış olsam da bu, eğer {s45} tacını haksız şekilde kaptırdıysa onu desteklememe engel olmaz.
str_rebellion_dilemma_quarrelsome|Hımm... {s46} asla hakkımı vermedi, yani benim de ona pek bir borcum yok ...
str_rebellion_dilemma_pitiless|Hımm... {s45} tahtın gerçek varisinin kendisi olduğunu söylüyor. Güzel -- bu {s46}'a olan sadakat yeminimi kaldırmış oluyor. Fakat yine de kararımı çok dikkatli vermeliyim.
str_rebellion_dilemma_cunning|Hımm, {s46} adına sadakat yemini ettim ama yeminler güçlü insanları sıradan insanları bağladığı şekilde bağlamaz. Bizim vazifemiz kendimizindir. Düzen sağlamak ve herkesin birbiriyle savaşmasını önlemektir.
str_rebellion_dilemma_sadistic|Hımm. Bu acımasız dünyada insan herşeyden önce kendini düşünmelidir. Pekala, burada benim kazancım nedir?
str_rebellion_dilemma_goodnatured|Ne diyeceğimi bilemiyorum. {s46} adına, onun yasal hükümdar olduğunu kabul ettiğime dair yemin ettim. Ancak gerçek hak sahibi o değilse, bu beni hala bağlı yapar mı bilmiyorum.
str_rebellion_dilemma_upstanding|Bu epey can sıkıcı. {s46} adına ettiğim bağlılık yemininin geçersiz olması ve ülkemizi bir arada tutan bağların bu şekilde çözüleceği fikri gerçekten çok can sıkıcı. Öte yandan verasetin meşruluğunu gözetmek de benim en birincil görevim ve {s45} yaptığı iddialarda meşruluğunu kanıtlamış görünüyor.
str_rebellion_dilemma_2_martial|Öte yandan, {s46} savaşta ve barışta önderimiz olmuştur. Yani yeminimi bozmaya gönülsüzüm.
str_rebellion_dilemma_2_quarrelsome|Peki söylesene, neden tanımadığım bir {reg3?kadın:adi herif} için tanıdığım ve bildiğim bir adi herife sırtımı döneyim?
str_rebellion_dilemma_2_pitiless|Kimi bu diyarın {reg3?yöneticisi:kralı} yapacağıma karar verme durumunda olmak bile çok ağır. Fakat aynı zamanda da vadesi gelmiş ödülllerimi almam için de bir fırsat.
str_rebellion_dilemma_2_cunning|{s46} artık meydan okunmuş bir lider ve sırf hükümdarlığı sorgulandığı için artık eskisi kadar güçlü biri olamayacak. Ancak eğer {s45} tahtı zor kullanarak ele geçirirse, bu sefer {reg3?onun:onun} hükümdarlığı bu işi barışçıl yollarla halleden birine göre zayıf kalacak.
str_rebellion_dilemma_2_sadistic|Belki de {reg3?o:o} hala zayıfken {s45} tarafına katılırsam beni zengin edebilir, belki de {s46} ona kelleni getirdiğimi görürse bana daha da büyük bir ödül verir?
str_rebellion_dilemma_2_goodnatured|{s46} her zaman bana makul davrandı. Ancak {s45} konusunda haksız olduğu da doğru. {s46} adına bağladığım sadakatimi feshetmekte tereddütlerim var ancak bir yandan da adil olmayanı desteklemenin yanlış olduğu aşikar.
str_rebellion_dilemma_2_upstanding|Ülke için en iyisi neyse onu yapmam gerekiyor. İç savaşla harabeye dönmesi ve düşmanları tarafından talan edilmesinin önünde durmalıyım.
str_political_philosophy_martial|Bana destek verdiği sürece, benim kılıcım efendimin tarafında olacaktır.
str_political_philosophy_quarrelsome|Peh. Hepsi bir alay adi herifin teki. Bana yanlış yapanları pişman ettireceğim.
str_political_philosophy_pitiless|İnsanlar her zaman diğerlerinin hakkını baltalamaya çalışır. Bu inançsız dünyada, herkes kendi hakkını korur olmalı.
str_political_philosophy_cunning|Pekala, hayat zor ve biz de zor kararlarla karşı karşıya kalıyoruz çoğu kez. Bazen, barışın gelmesi için zorbalık gerekir, bazen de kralın dürüst olması için zorbalık gerekir. Bu böyle gider.
str_political_philosophy_sadistic|Felsefem basittir: Kurt olmak, koyun olmaktan iyidir.
str_political_philosophy_goodnatured|Pekala, sözlerine sadık olmalı ve diğerlerine karşı adil olmalısın. Bunları dengede tutmak zordur bazen. Sen güvendiğin insanlarla ol, bu şekilde yanlış işler yapman zorlaşır.
str_political_philosophy_upstanding|Krallık ve lordluk müesseselerinin asıl amacı barışı sağlamak ve savaşı engellemektir, fakat bu bizi adaletsizliğe göz yummaya götürmemeli.
str_political_philosophy_roguish|Hımm.. sanırım lord olmak güzel bir şey.
str_political_philosophy_benefactor|İyi bir efendi, herkesin eşit adelette muamele edilmesini sağlar. Şahsen ben, otoritemi emrim altında çalışanlara daha iyi şartlar sağlamak için kullanıyorum.
str_political_philosophy_custodian|İyi bir efendi, halkını zenginleştirecek için imkanlar yaratır. Şahsen ben, zenginliğimi halkın ve kendimin yararına olacak şekilde geliştiriyorum.
str_rebellion_prior_argument_very_favorable|Senin tahta adaylığını destekleyen bazı iddialar duydum ve aynı fikirde olmaya meyilliyim.
str_rebellion_prior_argument_favorable|Senin taht adayını destekleyen argümanları duydum ve aynı fikirde olmaya meyilliyim.
str_rebellion_prior_argument_unfavorable|Senin tahta adaylığını destekleyen bazı iddialar duydum ama açıkcası ikna edici bulmadım.
str_rebellion_prior_argument_very_unfavorable|Senin tahta adaylığını destekleyen bazı iddialar duydum ancak çoğuna katılmıyorum.
str_rebellion_rival_martial|{s49} müttefikin {s44} daha önce benim şerefimi ve cesaretimi sorgulamıştı. Savaşta onunla yüzleşip söylediklerini geri sağlama şansını her zaman bulamam.
str_rebellion_rival_quarrelsome|{s49} {s44} ile beraber çalışıyorsun. Pek marifetli bir sansarcık ve ona asla güvenmiyorum.
str_rebellion_rival_pitiless|{s49} anladığım kadarıyla {s44} sana destek veriyor. Ancak o zayıf, yumuşak ve hükmetmeye uygun biri değildir.
str_rebellion_rival_cunning|{s49} sana katılan şu {s44}, inatçı, kavgacı ve güvenilmesi zor bir tiptir.
str_rebellion_rival_sadistic|{s49} tiksinç bir fazilet duruşu olan müttefikin {s44} yanında savaşa girmeyi arzulamıyorum.
str_rebellion_rival_goodnatured|{s49} zalimliği ile nam salmış {s44} ile aynı tarafta olmaya pek sıcak bakmıyorum.
str_rebellion_rival_upstanding|{s49} müttefikin {s44} bana göre tehlikeli, güvenilmez ve ahlaksız bir adam.
str_rebellion_argument_favorable|Bakış açına saygı duyuyorum.
str_rebellion_argument_neutral|Bakış açını ilgi çekici buluyorum.
str_rebellion_argument_unfavorable|Bakış açını ilgi çekici bulmuyorum.
str_rebellion_persuasion_favorable|Davanı üslubunu bilir bir şekilde ifade ettin.
str_rebellion_persuasion_neutral|Mantıklı bir şekilde ifade ettin.
str_rebellion_persuasion_unfavorable|Söylediklerinin ikna gücü yoktu.
str_rebellion_relation_very_favorable|Kişiliğine büyük saygım var.
str_rebellion_relation_favorable|Seni biliyor ve şahsına saygı duyuyorum.
str_rebellion_relation_neutral|Seni istediğim kadar tanımıyorum.
str_rebellion_relation_unfavorable|Sana güvenmiyorum.
str_and_comma_3|Ayrıca,
str_but_comma_3|Ancak,
str_and_comma_1|, ve
str_but_comma_1|, ama
str_and_comma_2|. Üstelik,
str_but_comma_2|. Bununla beraber,
str_rebellion_agree_martial|Kararımı verdim. Haklı varis olarak desteklediğim taraf {s45} olacak. 
str_rebellion_agree_quarrelsome|Ahh, bu kadar düşündüğüm yeter. {s46} hiç beğenimi kazanamamıştı zaten. Haydi gidip tacını ondan alalım!
str_rebellion_agree_pitiless|Hayır. İsyanına katılmayacağım. Bu, {reg3?sahibi:sahibi} olması gerektiğini düşündüğü ışıltılı oyuncağı elinden alınan bir {reg3?çocuğun:bebeğin} şımarıklığından daha fazla birşeymiş gibi görünmedi bana. Hükmetme kabiliyetini ispatlamış olan {s46} ile yoluma devam edeceğim.
str_rebellion_agree_cunning|Üzgünüm, kazanabileceğin yönünde bana pek güven veremedin. Pek çok insan ölecek ama ben onlardan biri olmayı tercih etmeyeceğim. {s46} ile yoluma devam edeceğim.
str_rebellion_agree_sadistic|Hayır. Senin bu küçük oyununu oynamayacağım. Tac'a doğru uzanmaya çalışıyorsun ama bence bu darağacına kısa bir yolculuk olarak bitecek ve ben de celladın baltası alçalırken {s46} yanında yerimi almış izliyor olacağım.
str_rebellion_agree_goodnatured|Üzgünüm. {s46} sırtımı döneceğim biri değil. Savaş alanında bir dahaki karşılaşmamızda alınma.
str_rebellion_agree_upstanding|Üzgünüm.  {s45} tarafından ortaya atılan hikaye bu diyarın halkının üzerine bir de iç savaş yükü bindirmem için yeterli değil. {s46} ile yola devam edeceğim. Eğer hatalıysam Gökler beni affetsin.
str_rebellion_refuse_martial|Üzgünüm. {s45} epey güçlü bir iddiaya sahip ama bana {s46}'a sırtımı döndürecek kadar güçlü değil. Liderime sadakatim sürecek.
str_rebellion_refuse_quarrelsome|I-ıh. Şu senin {s45} bu diyarı yönetecek kapasitede değil. Ben de {s46} ile kalıyorum bu durumda.
str_rebellion_agree_pitiless|Hayır. İsyanına katılmayacağım. Bu, {reg3?sahibi:sahibi} olması gerektiğini düşündüğü ışıltılı oyuncağı elinden alınan bir {reg3?çocuğun:bebeğin} şımarıklığından daha fazla birşeymiş gibi görünmedi bana. Hükmetme kabiliyetini ispatlamış olan {s46} ile yoluma devam edeceğim.
str_rebellion_agree_cunning|Üzgünüm, kazanabileceğin yönünde bana pek güven veremedin. Pek çok insan ölecek ama ben onlardan biri olmayı tercih etmeyeceğim. {s46} ile yoluma devam edeceğim.
str_rebellion_agree_sadistic|Hayır. Senin bu küçük oyununu oynamayacağım. Tac'a doğru uzanmaya çalışıyorsun ama bence bu darağacına kısa bir yolculuk olarak bitecek ve ben de celladın baltası alçalırken {s46} yanında yerimi almış izliyor olacağım.
str_rebellion_agree_goodnatured|Üzgünüm. {s46} sırtımı döneceğim biri değil. Savaş alanında bir dahaki karşılaşmamızda alınma.
str_rebellion_agree_upstanding|Üzgünüm.  {s45} tarafından ortaya atılan hikaye bu diyarın halkının üzerine bir de iç savaş yükü bindirmem için yeterli değil. {s46} ile yola devam edeceğim. Eğer hatalıysam Gökler beni affetsin.
str_talk_later_martial|Şimdi politika konuşulacak bir zaman değil! Bugün buraya silah kuşanmış lordlarımla beraber muharebe için gelmiş bulunuyorum. Savaşa hazırlansan iyi edersin.
str_talk_later_quarrelsome|Gerçekten efendime ihanet edip etmeyeceğimi mi tartışıyorsun benimle? Bütün bir ordusu tarafından kuşatılmışken! Beni ne sanıyorsun gerizekalı mı?
str_talk_later_pitiless|Sesini alçak tut! Bu konuda söyleyeklerimi burada dillendiremem, ordunun ortasındayken olmaz.
str_talk_later_cunning|Şimdi böyle bir tartışmaya girme zamanı değil. Belki bunu başka bir zamanda başka bir yerde gerçekleştirebiliriz ancak şimdilik hala düşmanız.
str_talk_later_sadistic|Senin ağzını diktirmeliyim! Diğer derebeyleri seninle ihanet planları yaptığımı duyarlarsa olabilecekleri aklın alıyor mu?
str_talk_later_goodnatured|Demek başlattığın isyanla ilgili konuşmak istiyorsun benimle? Efendimin ordusu etrafımızı sarmamışken tekrar dene o zaman söyleyeceklerini dinleyebilirim.
str_talk_later_upstanding|Verasetin meşruluğuyla ilgili görüşüm ne olursa olsun, bunu burada ve şimdi tartışmayacağım. Özel konuşabileceğimiz bir imkanımız olursa, bu konu üzerine diyeceklerini dinleyebilirim. Ancak şu an için beni düşmanın olarak düşün.
str_gossip_about_character_default|Söylediklerine göre {s6} ilginç karakteristik özelliklere sahip değilmiş.
str_gossip_about_character_martial|Söylediklerine göre {s6} savaştan başka birşey sevmezmiş.
str_gossip_about_character_quarrelsome|Söylediklerine göre {s6} sırf burnuyla ilgili bir espri yaptı diye diğer lordlardan biriyle savaşın eşiğine gelmiş!
str_gossip_about_character_selfrighteous|Duydum ki {s6} sırf ormanda bir geyik öldürdü diye idam ettirmiş
str_gossip_about_character_cunning|Söylediklerine göre {s6} pek kurnaz bir rakipmiş.
str_gossip_about_character_sadistic|Söylediklerine göre {s6} düşmanlarına işkence yapmayı severmiş. Bu adamın kara listesine girmeyi istemem doğrusu.
str_gossip_about_character_goodnatured|Söylediklerine göre {s6} ülkesindeki insanlara adil davranan iyi bir adammış. Bu bile birçok soylu adına söylenebileceklerden fazla.
str_gossip_about_character_upstanding|İnsanlar {s6} hizmeti altına girmenin iyi birşey olduğunu söylüyorlar. Tebasına iyi davranır ve hizmetlerini iyi ödüllendirirmiş.
str_latest_rumor|{s6} hakkında duyduğun en son söylenti:
str_changed_my_mind_martial|Fakat, heyecanlı düşüncelerin yerimi tekrardan gözden geçirmeye teşvik etti.
str_changed_my_mind_quarrelsome|Beni zaten ikna ettin, adi herif. Hadi söyle diyeceklerini
str_changed_my_mind_pitiless|Fakat bu şekilde devam edersen, tekrar düşünmek zorunda kalacağım
str_changed_my_mind_cunning|Sen de biliyorsun, ağzı iyi laf yapan adinin tekisin. Etkilendim. Seni dinliyorum
str_changed_my_mind_sadistic|Senin dilin böyle laflar şakıdıkça bu dediklerin hep dikkatimi çekecektir.
str_changed_my_mind_goodnatured|Fakat doğru konuşuyorsun. Bu yüzden dediklerine kulak asacağım
str_changed_my_mind_upstanding|Yine de, kelimeleri kullanmayı iyi biliyorsun. Seni dinliyorum.
str_swadian_rebellion_pretender_intro|Adım Isolla, Svadyalıların meşru kraliçesiyim.
str_vaegir_rebellion_pretender_intro|Adım Valdym. Bazıları bana “Piç Valdym” de der. Bir Vaegir prensiyim ama tüm haklarıyla onların kralı olmam gerekirdi, kuzenim Yaroglek değil.
str_khergit_rebellion_pretender_intro|Adım Dustum Kağan, Janakir Kağan'ın oğlu ve Kergitlerin meşru Kağanı!
str_nord_rebellion_pretender_intro|Adım Lethwin, İhtiyar Hakrim'in oğluyum, Kalradya Nordlarının kralı olması gereken Hakrim'in oğlu.
str_rhodok_rebellion_pretender_intro|Ben Lord Kastor'um, onları zorba iktidardan kurtaracak olan Rodoklar'ın meşru kralıyım.
str_sarranid_rebellion_pretender_intro|Ben, Sarranidlerin annesi ve kraliçesi Arwa'yım. Bana 'İncili Arwa da derler. 
str_swadian_rebellion_pretender_story_1|Babam Kral Esterich'in tek evladıyım. Bir kadın olmama rağmen beni oğlu gibi sevdi ve varisi ilan etti -- sadece bir kere de değil, memleketin bütün soyluları önünde pek çok defalar yaptı ki diyarda onun bu kararını duymayan kalmasın. Bir kadını hükmetmekten alıkoyan bir kanunumuz yok -- hatta biz Svadyalılar hâlâ uzun zaman önce yaşamış olan savaşçı kraliçelerimizin hikayelerini anlatırız.
