dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_lord_mission_told_kill_local_merchant:lord_mission_rejected|Ben sıradan bir katil değilim, bayım. Kirli işlerinizi yapacak başka birini bulmanızı öneririm.
dlga_lord_mission_accepted_kill_local_merchant:close_window|Pek güzel. Senin kabiliyetlerine güvenim tam, {playername}. Beni hayal kırıklığına uğratma. Şimdi git ve benden haber bekle. Bu tüccarı nerede ve ne zaman enseleyebileceğini sana bildireceğim. Benim için ondan kurtul ki ben de seni cömert bir şekilde ödüllendireyim.
dlga_lord_tell_mission:lord_mission_told_meet_spy_in_enemy_town|Biraz ilgi isteyen hassas bir konu var, {playername}, ancak bu işe sahip çıkabilecek derecede güvenilir adam yok. {s13} içerisinde olan biteni gözlemesi ve bana geri rapor etmesi için bir casusum var. Her hafta casusun bu raporlarını alıp güvenli bir şekilde bana ulaştırması için birilerini gönderiyorum. Eğer istersen, bu iş senindir.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_accepted|Sessiz bir iş fena olmaz, ben varım.
dlga_lord_mission_told_meet_spy_in_enemy_town:quest_meet_spy_in_enemy_town_rejected|Kabul edemeyeceğim. Böyle gizli saklı işler bana göre değil.
dlga_quest_meet_spy_in_enemy_town_accepted:quest_meet_spy_in_enemy_town_accepted_response|Harika! Hemen  yola çık, casusum seni {s13} içinde bekliyor olacak.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_2|{s13} çok sıkı korunuyor. Farkedilmeden nasıl yaklaşacağım?
dlga_quest_meet_spy_in_enemy_town_accepted_2:quest_meet_spy_in_enemy_town_accepted_response|Gizlice yaklaşman gerekecek. Düşman kaleleri, köyleri ve birlikleri tarafından farkedilmemeye dikkat et. Yanına da az adam al, birliğin çok kalabalık olmasın. İlk seferde içeri girmeyi başaramazsan, tekrar denemeden önce bir süre bekle ki nizamiyedeki askerler güvenliği tekrar düşürsünler, yoksa bayağı zorlanırsın.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_3|Casusu nasıl tanıyacağım?
dlga_quest_meet_spy_in_enemy_town_accepted_3:quest_meet_spy_in_enemy_town_accepted_response|{s13} içine girmeyi başardığında yerli halkla konuşman gerekiyor. Casus onlardan biri olacak. Eğer casusu bulduğunu düşünüyorsan ona şu cümleyi söyle '{s11}' Casus da sana '{s12}' cevabını verecek. Böylece birbirinizi tanıyacaksınız ve sana topladığı bütün bilgileri verecek.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_4|Bana ödeme yapılacak mı?
dlga_quest_meet_spy_in_enemy_town_accepted_4:quest_meet_spy_in_enemy_town_accepted_response|Elbette, senin gibi sadık {adamlara/kadınlara} ödeme yapabilmem için sandıklarımda bolca dinarım var. Gözüme girebilirsen, {playername}, iyi yerlere gelirsin.
dlga_quest_meet_spy_in_enemy_town_accepted_response:quest_meet_spy_in_enemy_town_accepted_end|Yapılması gerekeni biliyorum. Hoşçakalın lordum.
dlga_quest_meet_spy_in_enemy_town_accepted_end:lord_pretalk|İyi şanslar, {playername}. Unutma, cümle '{s11}', karşı cümle ise '{s12}'. Bütün raporları bana getir ki, emeğinin karşılığını fazlasıyla al.
dlga_quest_meet_spy_in_enemy_town_rejected:lord_pretalk|İstediğin gibi olsun, {playername}, o zaman sana az önce casuslarla ilgili söylediğim herşeyi unutmanı şiddetle öneririm. Casuslar yok, hiç olmadılar ve kimse onları bulamayacak. Bunu aklından çıkarma.
dlga_lord_tell_mission:lord_mission_told_raid_caravan_to_start_war|{s13} ile bu barış durumu beni çok rahatsız ediyor, {playername}. Bunların canlarının istediği gibi yaşamalarına çok fazla müsade ettik. Şimdi de her geçen gün daha da güçleniyorlar ve züppeliklerinden geçilmiyor! Diyorum ki çok geç olmadan onlara karşı haklı savaşımıza girişmemiz gerekiyor! Malesef bizim taraftaki bazı lordların yufka yüreklilikleri yüzünden seferimizin önü kapatılıyor. Kan görmeye bile dayanamıyor bu adamlar! Peh!
dlga_lord_mission_told_raid_caravan_to_start_war:lord_mission_tell_raid_caravan_to_start_war_2|Haklısın, {s65}, ama ne yapabiliriz ki?
dlga_lord_mission_told_raid_caravan_to_start_war:quest_raid_caravan_to_start_war_rejected_1|Reddediyorum, bayım. Savaş yerine barışı yeğlerim.
dlga_lord_mission_tell_raid_caravan_to_start_war_2:lord_mission_tell_raid_caravan_to_start_war_3|Ah, nihayet laftan anlayabilen biriyle karşılaştım. İşin aslı, seninle birlikte yapabileceğimiz bir şeyler var, {playername}. Birilerini kışkırtacağız birazcık. Eğer ordularımızdan biri onların bölgesine girip, kervanlarını veya köylerinden birkaçını talan edebilirse, ve belkide arkalarından bir iz bırakırlarsa, bize savaş açmak için tonla sebepleri olmuş olacaktır. Ondan sonra, pekala, aramızda ki korkaklar bile kendilerini savunmak için harekete geçmek zorunda kalacak. Ne dersin peki? Var mısın?
dlga_lord_mission_tell_raid_caravan_to_start_war_3:quest_raid_caravan_to_start_war_accepted|Kusursuz bir plan! Ben varım!
dlga_lord_mission_tell_raid_caravan_to_start_war_3:lord_mission_tell_raid_caravan_to_start_war_4|Neden bunu kendin yapmıyorsun?
dlga_lord_mission_tell_raid_caravan_to_start_war_4:lord_mission_tell_raid_caravan_to_start_war_5|Nihayetinde, {playername}, lordların bir kısmı krallık sınırları içerisinde kendileri haberdar edilmeden savaş başlatılmış olmasından hiç  de hoşnut olmayacaklar. Beni alaşağı etmek için zaten fırsat kolluyorlar kendimi böyle bir duruma sokarsam ellerine ihtiyaçları olan bütün kozları vermiş olurum. Ancak öteyandan sen, genç, sevilen ve girişkenliğiyle tanınan birisin. Yani bu işten daha kolay sıyrılabilirsin. Ben de bu sırada senin arkanı kolluyor olacağım tabiki. Sonuçta birkaç lord senin bu yersiz görünen girişiminden rahatsız olmuş olabilir, ama emin ol ki sen bunlarla kafanı yormayacaksın
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_accepted|Bana çok mantıklı göründü. Bunu yapmaya hazırım.
dlga_lord_mission_tell_raid_caravan_to_start_war_5:quest_raid_caravan_to_start_war_rejected_2|Bunu hiç beğenmedim. Entrikaların yüzünden suçlanacak başka bir adam bul kendine.
dlga_quest_raid_caravan_to_start_war_accepted:close_window|Çok iyi! Bir kervanı yağmalarsak, yada, bunu yapamazsan, köylerden birine saldırdık mı tamamdır. Sana iyi şanslar ve iyi avlanmalar. Git de komşularımız sinirden kudursunlar!
dlga_quest_raid_caravan_to_start_war_rejected_1:lord_pretalk|Ah, demek öyle? Peki söylesene senin bu kıymetli barış durumun ne kadar daha sürecek? Uzun değil, inan bana.
dlga_quest_raid_caravan_to_start_war_rejected_2:lord_pretalk|Hımm... Öyle olsun, {playername}. Sende bir kıvılcım gördüğümü sanmıştım, ama belli ki yanılmışım.
dlga_lord_tell_mission:lord_mission_told.1|{s4}ndeki tarlalarda çalışan kölelerimden bir kısmı firar etti. Nankör sefiller, tarlalarımı sürüp, barakalarımı kullanmalarına izin verdim ve şimdi bana böyle karşılık veriyorlar! Bana bildirilene göre {s3}ne doğru olabildiğince hızlı bir şekilde kaçıyorlarmış. Yakalanma riskini azaltmak için de üç gruba ayrılmışlar. Senden bu üç grubu da ne olursa olsun yakalamanı ve tekrar {s4} tarlalarına geri getirmeni istiyorum. Aslında kaçmaya yeltendikleri için hepsini astırmam gerekir, ama önümüzdeki hasat için bütün o ellere ihtiyacımız var, yani bu sefer muhtemelen hepsine iyi bir dayak attırıp olayı kapatacağım.
dlga_lord_tell_mission:lord_tell_mission_follow_spy|Şu anda şehir sınırları içinde bir düşman casusu olduğuna dair güvenilir bilgilerim var. Yaptığı bu küstahlıktan dolayı yakalanıp asılmalı, ancak yakında şehirden ayrılıp aracısıyla buluşacağını tahmin ediyoruz. Casusun kendisinin pek bir önemi yok, ama aracısı çok tehlikeli bir adam ve bir şekilde elimize geçirebilirsek bize çok faydası olabilir.
dlga_lord_tell_mission_follow_spy:lord_tell_mission_follow_spy_2|Casus şehri terkedene kadar burada beklemeni istiyorum. Sonra buluşma yerine varana kadar onu gizlice takip etmelisin. Yolda kesinlikle casusa kendi belli etmemelisin, bu çok önemli, yoksa işlerin yolunda gitmediğini anlayıp yolunu değiştirebilir. İşvereni, yani aracısı ortaya çıktığında ise ikisini birden yakalayıp bana getirmelisin. Canlı olsunlar, zahmet olmazsa. En azından konuşabilecek bir durumda olsunlar.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_accepted|Tamamdır, {s65}.
dlga_lord_tell_mission_follow_spy_2:lord_tell_mission_follow_spy_rejected|Hayır, bu hafiye işi bana göre değil.
dlga_lord_tell_mission_follow_spy_accepted:close_window|Güzel, bu işi halledebileceğinden eminim. Adamlarımdan biri sana şehri terkederken casusu işaret edecek ki, kimi takip edeceğini bilesin. Unutma, ikisini de canlı halde istiyorum.
dlga_lord_tell_mission_follow_spy_rejected:lord_pretalk|Yazık. İşine gücüne devam et o halde , {playername}...
dlga_lord_tell_mission:lord_tell_mission_capture_enemy_hero|Halledilmesi gereken zor bir iş var, {playername}, ve bunu yapabilecek tek {adam/kişi} sensin. {s13} lordlarından birinin tutsak alınması gerek. Sonrasında onu {s13} tarafından esir tutulan bir akrabamla takas edeceğim. Gördüğün gibi, senin için basit bir iş, ama dikkatli ol. Çünkü kimi seçersen seç bil ki sayıca kalabalık ve oldukça eğitimli bir grup seçkin asker tarafından korunuyor olacak. Bu işe var mısın?
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_accepted|Oldu farzedin, {s65}.
dlga_lord_tell_mission_capture_enemy_hero:lord_tell_mission_capture_enemy_hero_rejected|Kabul edemeyeceğim, {s65}. Ben adam kaçırmam.
dlga_lord_tell_mission_capture_enemy_hero_accepted:close_window|İşte aradığım ruh bu! Git ve bana düşmanlardan birini getir, ben de salonuma döndüğünde senin şerefine kadeh kaldırayım! Ve tabiki çabaların için de seni ödüllendireyim.
dlga_lord_tell_mission_capture_enemy_hero_rejected:lord_pretalk|Açıkça görülüyor ki sahibi olduğunu düşündüğüm sarsılmaz irade aslında sende yokmuş. Pekala, {playername}, bir başkasını bulamaya çalışacağım.
dlga_lord_tell_mission:lord_tell_mission_lend_companion|Senin için bir görevim yok, ama yoldaşın {s3} yetenekli biri ve şu anda bana {reg3?onun:onun} yeteneklerine sahip biri lazım. {reg3?Onu:Onu} bir süreliğine bana ödünç verebilir misin?
dlga_lord_tell_mission_lend_companion:lord_tell_mission_lend_companion_2|Ne kadar bir süre {reg3?ona:ona} ihtiyacınız olacak?
dlga_lord_tell_mission_lend_companion_2:lord_mission_lend_companion_told|Sadece birkaç gün, en fazla bir hafta.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_accepted|O halde {s3} bir haftalığına burada kalacak.
dlga_lord_mission_lend_companion_told:lord_tell_mission_lend_companion_rejected|Üzgünüm ama bir hafta boyunca {s3} olmadan yapamam.
dlga_lord_tell_mission_lend_companion_accepted:close_window|Sana ne kadar teşekkür etsem azdır, {playername}. Endişelenme, yoldaşını vaktinde sana geri iade edeceğim.
dlga_lord_tell_mission_lend_companion_rejected:lord_pretalk|Bu çok yazık oldu işte, {s3} veya seni zorla ikna etmem gibi bir durum söz konusu olmadığına göre, işimi o olmadan halledebilmenin yollarına bakmalıyım.
dlga_lord_tell_mission:lord_tell_mission_collect_debt|Bir süre önce {s3} benden yüklü bir miktar borç almıştı. {reg4} dinar, ne eksik ne fazla. Bir ay içinde borcunu ödemesi gerekiyordu ama ondan metelik bile alamadım. Bu aylar önceydi. Bana olan borcunu benim adıma alabilirsen, pek müteşekkir olurum. Hatta paranın beşte birini de sana bırakırım. Ne diyorsun?
dlga_lord_tell_mission_collect_debt:lord_tell_mission_collect_debt_2|{s3} en son neredeydi, {s65}?
dlga_lord_tell_mission_collect_debt_2:lord_tell_mission_collect_debt_3|Eğer şimdi yola çıkarsan, {s4} civarında onu bulabilirsin. Yaptığı şeyden utanacağına ve bütün borcunu sana oracıkta ödeyeceğine eminim!
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_accepted|O halde {s3} ile sizin adınıza konuşacağım.
dlga_lord_tell_mission_collect_debt_3:lord_tell_mission_collect_debt_rejected|Kusura bakmayın, {s65}, ancak benim gitmemin sizin orada şahsen bulunmanızdan daha iyi bir etki yapacağını sanmıyorum.
dlga_lord_tell_mission_collect_debt_accepted:close_window|Bu görevi kabul ederek beni çok mutlu ettin {playername}. Lütfen {s3} ile konuş ve benim paramla ayrılmasına izin verme.
dlga_lord_tell_mission_collect_debt_rejected:lord_pretalk|Belki de, {playername}. Sanırım paramı asla geri alamayacağım.
dlga_lord_tell_mission:lord_tell_mission_incriminate_commander|Bak sana diyorum, o zırıldayıp duran aptal {s13}, {s14} hükümdarı olmaya uygun falan değil! Eğer en sadık derebeylerinden biri olan {s15} yanında olmasaydı topraklarının hepsini şimdiye kaybetmişti. Derebeyi yanında olduğu sürece onu yenmek epey zorlaşacak. Bu yüzden {s15} ortadan kalkmalı. Tam da bunun için bir planım var... Senin de yardımınla, tabii ki...
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_2|Dinliyorum {66}
dlga_lord_tell_mission_incriminate_commander:lord_tell_mission_incriminate_commander_rejected|{s15} karşısında, onun şerefini zedeleyecek hiçbirşeyin parçası olmam.
dlga_lord_tell_mission_incriminate_commander_rejected:lord_pretalk|Şeref zedeleyici mi? Peh! Sana güvenebileceğimi sanmıştım, {playername}, ama sen bana ne kadar aptal olduğumu gösterdin. Sadakatine güvenebileceğim birini bulacağım kendime! Ayrıca zekasına...
dlga_lord_tell_mission_incriminate_commander_2:lord_tell_mission_incriminate_commander_3|{s15} adına üzerinde benim mührümün bulunduğu sahte bir mektup yazdım. Mektupta {s14} içinde planlanan bir darbe ile ilgili ifadeler var. Eğer {s13} mektubun gerçek olduğuna ve darbe girişimine inanırsa, derhal {s15} ile ilgilenecektir. Elbette ki burada en büyük sıkıntı, onu mektubun gerçekliğine inandırabilmek.
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_4|Lütfen, devam et, {s65}...
dlga_lord_tell_mission_incriminate_commander_3:lord_tell_mission_incriminate_commander_rejected|Hayır, kendimi şerefsizlik üzerine kurulu olan bu komplonun içine atmayacağım.
dlga_lord_tell_mission_incriminate_commander_4:lord_tell_mission_incriminate_commander_5|İşte sen oyuna burada dahil oluyorsun. Mektubu alıp {s14} önlerine kadar git, orada onu askerlerinden birine ver ve mektubu {s15} huzuruna götürsün. Casuslarımdan birinin şehir güvenliğini uyarmasını ayarlayacağım. Mektubu taşıyan adamın girişte yakalanacak. Güvenlik güçlerinin o mektubu doğrudan {s13} huzuruna götürecekler. Orada, gerçeği öğrenebilmek amacıyla adamına tabii ki işkence yapılacak. Ama onun da tek bildiği zaten bu mektubu {s15} için getirdiğin ve askere büyük gizlilikle ona ulaştırması için emir verdiğin olacak. {s13} bana hizmet ettiğini biliyor, yani o budala bu planı kesinlikle yutacak.
dlga_lord_tell_mission_incriminate_commander_5:lord_tell_mission_incriminate_commander_7|Hepsi bu mu?
dlga_lord_tell_mission_incriminate_commander_7:lord_tell_mission_incriminate_commander_8|Bir şey daha var... Mesajı iletecek olan askerin güvenilir olmalı. Eğer mektubu bir köylü veya ayakçı gibi, değersiz bir adamınla gönderirsen, {s13} muhtemelen şüphelenecektir. Bir sümüklüböceğin zekasına sahip olabilir, ama bir sümüklüböcek bile ortada olanı görebilir. Mektubu daha rütbeli adamlarından birine ver, bir {s9} mesela.
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_9|Ne? Bir {s9} ölüme göndermek isteyeceğim en son adamımdır!
dlga_lord_tell_mission_incriminate_commander_8:lord_tell_mission_incriminate_commander_fin|O halde bir {s8} olacak.
dlga_lord_tell_mission_incriminate_commander_9:lord_tell_mission_incriminate_commander_10|Haydi, {playername}. Burası duygusal olunacak bir yer değil. İnan bana, bunun karşılığında cömertçe ödüllendirileceksin. Bunun yanında, eğer biz diyoruz diye ölmeyeceklerse askerler ne işe yarayacaklar ki?
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_fin|Tamam, bir {s8}.
dlga_lord_tell_mission_incriminate_commander_10:lord_tell_mission_incriminate_commander_rejected|Hayır, adamlarımdan hiçbirini bu şekilde feda etmem.
dlga_lord_tell_mission_incriminate_commander_fin:lord_pretalk|Bunu duyduğuma ne kadar sevindim bilemezsin, {playername}. Önümdeki en büyük engellerden birini kaldırmış oluyorsun. İşte mektup, yanında da harcamaların için 300 dinar. Unutma, başarılı olduğunda daha fazlasını alacaksın. Çok çok daha fazlasını...
dlga_lord_tell_mission:lord_mission_told.2|Askerlerimden bir kısmı yakın zaman önce gerçekleşen bir çarpışmada esir düştüler. Neyse ki düşmanla karşılıklı esir takası üzerine bir anlaşmamız var ve adamlarımı serbest bırakacaklar. Ancak bunu karşılığında bizden aynı rütbelerde ve sayıda esiri serbest bırakmamızı istiyorlar. Elimde bu sayılarda bu türbelerde esirim yok. Yani şu anda bana takas için kullanabileceğim {reg1} {s3} esiri getirebilecek iyi bir {adama/savaşçıya} ihtiyacım var.
dlga_lord_tell_mission:lord_pretalk|Hayır, {playername}. Bu sefer yardımına ihtiyacım yok.
dlga_lord_mission_told:lord_mission_accepted|Bana güvenebilirsin, {s65}.
dlga_lord_mission_told:lord_mission_rejected|Korkarım bu görevi şu sıralar kabul edemeyeceğim.
dlga_lord_mission_accepted:close_window|Mükemmel, {playername}, mükemmel. Sana sonuna kadar güveniyorum.
dlga_lord_mission_rejected:close_window|Öyle mi? Demek ki bu iş için uygun biri değilsin. Demek ki daha cesaretli birilerini bulmam gerek.
dlga_lord_talk:lord_leave_prison|Şimdi gitmem gerekiyor.
dlga_lord_talk:lord_leave|Bu görüşme bitmiştir. Ben gidiyorum....
dlga_lord_talk:lord_leave.1|İzninizle şimdi gidiyorum...
dlga_lord_leave:lord_leave_give_quest|Gitmeden önce, {playername}, senden bir şey isteyeceğim... Bu savaşta düşman olabiliriz, ama yine de birbirimize karşı medeni olabiliriz. Nitekim benim için önemi olan bir konuda bana yardımcı olmanı isteyeceğim.
dlga_lord_leave_give_quest:enemy_lord_tell_mission|Dinliyorum.
dlga_enemy_lord_tell_mission:lord_mission_told|Eskiden savaşçı olan bir arkadaşım çok hasta.. Eski bir savaş yarası enfeksiyon kapmış ve korkarım yakınlarda bir hekime görünemezse ölecek.. Bu adam yakınımdır, {playername}, ama aynı zamanda bir keçi kadar inatçı ve doktorlara güvenmediği için kimsenin yarasına bakmasına izin vermiyor. Duyduğuma göre grubun içerisinde marifetli bir cerrah bulunmaktaymış. Eğer cerrah arkadaşın buraya gelip bir bakabilirse, belki arkadaşımın inadını kırıp onu bir ameliyata ikna edebilir. Lütfen, bu ricamı gerçekleştirirsen sana çok minnetar olacağım.
dlga_lord_leave_prison:close_window|Tekrar karşılaşacağız.
dlga_lord_leave:close_window|Hoşçakalın, hanımım. Daima sizin en ateşli aşığınız olarak kalacağım.
dlga_lord_leave:close_window.1|Tabii ki, {playername}. Hoşçakal.
dlga_lord_leave:close_window.2|İyi yolculuklar, {playername}.
dlga_lord_leave:close_window.3|Evet, evet. Hoşçakalın.
dlga_lord_leave:close_window.4|Tekrar görüşeceğiz.
dlga_member_chat:lady_journey_1|Yolculuğu beğendin mi, {s65}?
dlga_lady_journey_1:close_window|Gayet iyi gidiyor, {playername}. İlginiz için teşekkür ederim.
dlga_start:spouse_talk|Evet, sevgili kocam?
dlga_spouse_talk:minister_issues|Başbakanım olduğunuzdan dolayı, sizinle devlet sorunları hakkında konuşmak istiyorum.
dlga_spouse_talk:spouse_cancel_political_quest|{s10} planımızdan vazgeçelim.
dlga_spouse_cancel_political_quest:spouse_cancel_political_quest_confirm|Bu fikirden vazgeçmek istediğine emin misin?
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk|Evet eminim. Vazgeçelim.
dlga_spouse_cancel_political_quest_confirm:spouse_pretalk.1|Aslında emin değilim.
dlga_spouse_talk:combined_political_quests|Bu ülkedeki itibarımızı yükseltmek için birşeyler düşünmeliyiz.
dlga_spouse_talk:spouse_organize_feast|Düşünüyordum da, belkide bir ziyafet ayarlamalıyız.
dlga_spouse_talk:spouse_household_possessions|Hanemizdeki malların sayımını yapalım.
dlga_spouse_household_possessions:spouse_pretalk|Herneyse, elimizdekilerin listesi bu.
dlga_spouse_talk:close_window|Daha sonra konuşalım {sevgili karım/sevgili kocam}
dlga_wedding_ceremony_bride_vow:wedding_ceremony_player_vow|[Gelin konuşur, kamera henüz dönmemiştir:] Sevgili kocam, iyi günde ve kötü günde karınız olmaya ant içiyorum. Tanrı yüzümüze gülsün, bize çocuklar ve refah bahşetsin.
dlga_wedding_ceremony_player_vow:wedding_ceremony_vows_complete|Ben de yemin ediyorum. Artık karı kocayız.
dlga_wedding_ceremony_player_vow:close_window|Dur – bekle... henüz hazır değilim.
dlga_wedding_ceremony_vows_complete:close_window|Siz ve {s3}, sizi karı koca ilan ediyorum. Şimdi sizin için hazırlanan odaya gidin ve biz de gelinini {s11} topraklarındaki konağına götürmek için gerekli hazırlıkları yapalım.
dlga_spouse_pretalk:spouse_talk|Başka bir şey var mı, sevgili {kocam/karım}?
dlga_spouse_organize_feast:spouse_pretalk|Çok iyi bir fikir, sevgili eşim. Ama yenisini düzenlemeden önce şimdiki şölenin bitmesini bekleyelim.
dlga_spouse_organize_feast:spouse_pretalk.1|Çok iyi bir fikir, sevgili eşim. Ama bir şölen düzenlemeden önce kendimize bir merkez edinmeliyiz.
dlga_spouse_organize_feast:spouse_pretalk.2|Çok iyi bir fikir, sevgili eşim. Ama ülkemizde daha geçende şölen düzenlendi. Yenisini düzenlemeden önce en az {reg3} gün beklememiz daha iyi olur.
dlga_spouse_organize_feast:spouse_evaluate_larder_for_feast|Harika bir fikir, sevgili eşim. Fakat, konuklarımızı küçük düşürmemek için lordlara, ailelerine ve heyetlerine yetecek genişlikte ve çoklukta bir yemek hazırlayabileceğimizden emin olmalıyız. Şimdi, hanemizdeki mallara bir göz atalım...
dlga_spouse_evaluate_larder_for_feast:spouse_feast_confirm|{s9}
dlga_spouse_feast_confirm:spouse_feast_added_items|Kilere biraz daha erzak koyalım.
dlga_spouse_feast_added_items:spouse_evaluate_larder_for_feast|Pekala – kileri tekrar kontrol edeyim.
dlga_spouse_feast_confirm:spouse_feast_confirm_yes|Davetiyeleri yollayalım.
dlga_spouse_feast_confirm:spouse_pretalk|O halde bekleyelim.
dlga_spouse_feast_confirm_yes:spouse_pretalk|Ülke içerisindeki şartlar uygun hale gelir gelmez haber göndereceğim, ve sonra da ziyafeti hazırlarız. Belkide bu esnada kileri zenginleştirmeye devam etmelisin, böylece konukseverliğimiz ile ün kazanırız.
dlga_spouse_feast_confirm_yes:spouse_pretalk.1|İyi o zaman, şölen derhal {reg4?burada:} {s9}ndeki köşkümüzde başlasın. Sen de depolarımıza gereken öte beriyi eklemeye devam et ki şanımıza yakışır bir sofra donatalım. Unutma ki istediğin zaman bir sefer ilan ederek ya da derebeylerin evlerine gönmesine izin vererek şöleni bitirebilirsin.
dlga_start:close_window.13|Ne kadar harika... Çok kısa bir süre sonra evleneceğiz! Yine de söylemem gerekiyor, son bir kaç gün çok fazla konuşmamız geleneklere uygun birşey değil.
dlga_start:close_window.14|Eh, {playername}, nikah geleneklerine alışkın olmayabilirsin, fakat birinin sana anlatmasını umuyordum... İlkin {s11}{.m} {s4} le konuşman gerekiyor.
dlga_start:close_window.15|Geleneklere göre evlilik törenimizi, {s11}m {s10}{.nin} yürütmesi gerekiyor, fakat onu bulamıyorum... Belki de o bulunana kadar beklemeliyiz.
dlga_start:close_window.16|Onurlu {s12} ailelerimize dönmemize izin verdi. Kısa süre içerisinde ayrılacağız.
dlga_start:kingdom_lady_captive|Kendimi çok yalnız hissediyorum! Ailemi nasıl özledim!
dlga_start:kingdom_lady_captive.1|Siz, böyle birine eşlik edemeyecek kadar aşağılık {adamın/kadının} tekisiniz...
dlga_start:kingdom_lady_captive.2|Bu çok garip. Bana karşı büyük bir nezaket içerisinde olmanıza rağmen, beni hala zorla burada tutuyorsunuz.
dlga_start:kingdom_lady_captive.3|Neden ailem fidyemi ödemedi? Beni tutsağınız olarak tutabilirsiniz, fakat görünüşe göre bana sizin kadar önem vermiyorlar!
dlga_lady_stranded_next:close_window|Greetings, {sir/my lady}. The tides of war have left me stranded here in this fortress, but I will shortly be departing. 
dlga_start:lady_talk_refugee|{playername} – Sizin gibi onurlu bir {adamın/kadının} hiç bir fidye talep etmeden, ailelerimize dönmemize izin vereceğini umuyorum.
dlga_start:close_window.17|Kısa süre içerisinde {s4}'.{.e} gitmek üzere yola çıkacağız. Dünya üzerinde sizin gibi onurlu insanların kaldığını görmek güzel.
dlga_lady_talk_refugee:close_window|Tabii ki, hanımım.
dlga_lady_talk_refugee:lady_captive_talk|Yanlış düşünüyorsunuz, hanımım.
dlga_lady_captive_talk:lady_captive_confirm|Ne?! Bu ne rezalet?
dlga_lady_captive_confirm:close_window|Özür dilerim – beni yanlış anladınız. Tabii ki gidebilirsiniz.
dlga_lady_captive_confirm:close_window.1|Fidye için ailenizle iletişime geçin, hanımım.
dlga_kingdom_lady_captive:close_window|O halde ailenize yazın ve fidyeyi göndermeleri konusunda acele etmelerini söyleyin!
dlga_kingdom_lady_captive:close_window.1|Fikrimi değiştirdim – gidebilirsiniz.
dlga_start:close_window.18|Pekala, {playername} – {s10} ile düello yaptınız, ve kaybettiniz. Geleneklerimize göre, artık sizinle olamam. Güle güle, {playername}.
dlga_start:lady_duel_lost|Ah {playername} – {s10} ile yaptığın düelloyu duydum. Keşke onunla hiç dövüşmeseydiniz, çünkü geleneklerimizden ve onurumuzdan dolayı, ona yenildiğiniz için sizinle birlikte olamayacağım. Güle güle {playername}.
dlga_lady_duel_lost:close_window|Pekala – Gelenekler neyi gerekiyorsa... Güle güle, hanımım.
dlga_lady_duel_lost:lady_duel_lost_flaunt_conventions|Geleneklerin canı cehenneme!
dlga_lady_duel_lost_flaunt_conventions:close_window|Ah, {playername}! Sizi bir daha asla görmemek bana acı verecektir. Bu saçma geleneği bir tarafa bırakalım.
dlga_lady_duel_lost_flaunt_conventions:close_window.1|Hayır, {playername} -- Adımızın lekelenmesini kaldırabileceğimizi sanmıyorum
dlga_start:lady_start|Ah, {playername} – duydum ki {s10} ile yaptığın düelloyu kazanmışsın. O adamınkiler yerine senin kollarının arasında olacağım için çok mutluyum!
dlga_start:lady_start.1|Pekala, {playername} --  {s10} ile yaptığın düelloyu kazandın. Artık onunla görüşmem yasak. Ona aşıktım biliyorsun. Bu yüzden onu yenmen benim için güzel birşey değil.
dlga_lady_duel_rep_1:lady_start|Well, {playername} --  you won your duel with {s10}. Oh, such foolishness, that men should fight over me! Sigh... But it is a bit romantic, I suppose.
dlga_lady_duel_rep_2:lady_start|Well, {playername} --  you won your duel with {s10}. Honor now demands that he and I no longer meet... I was fond of him, you know. You did me no service by fighting him, sir.
dlga_start:lady_qst_duel_for_lady_succeeded_1|Sevgili {playername}, seni tekrar görmek ne büyük mutluluk! Duydum ki o {s13} reziline dersini vermişsin! Umarım yaşadığı utancı asla unutmaz. Senin için bir ödülüm var, ama senin benim için yaptığının yanında az bile.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2|Eh, bi şekilde yetecek işte.
