str_no_string|¡NO STRING!
str_rejoinder_intro_female_pitiless_admiring|A mí me complacería sobremanera mellar vuestra hermosa nariz, señor.
str_rejoinder_intro_female_common_upstanding|¿Os apetece sentir la ternura de mi acero?
str_rejoinder_intro_female_noble_upstanding|¿Os apetece sentir la ternura de mi acero?
str_rejoinder_intro_female_common_martial|Podría encontrar mejores maridos en una pocilga.
str_rejoinder_intro_female_sadistic_admiring|Vos podríais poner un toque de humanidad a un estribo de caballo, pero poco más.
str_rejoinder_intro_female_badtempered_admiring|Si os disgusta contemplarme, con gusto os sacaré los ojos.
str_comment_you_raided_my_village_enemy_benevolent|Habéis atacado a campesinos inocentes bajo mi protección en la aldea de {s51}. ¡Esto lo pagaréis caro!
str_comment_you_raided_my_village_enemy_spiteful|Habéis saqueado mi aldea de {s51}, destruyendo mi propiedad y matando a mis arrendatarios. ¡Lo pagaréis con vuestra sangre!
str_comment_you_raided_my_village_enemy_coldblooded|Habéis saqueado mi aldea en {s51}, destruyendo mi propiedad y matando a mis arrendatarios. Haré que la próxima vez os lo penséis dos veces antes de arrebatarme mis rentas.
str_comment_you_raided_my_village_enemy|Habéis saqueado mi aldea de {s51}, destruyendo mi propiedad y matando a los arrendatarios bajo mi protección. ¡Pagaréis vuestro crimen!
str_comment_you_raided_my_village_unfriendly_spiteful|Habéis saqueado mi aldea de {s51}. Hacedlo otra vez y os destriparé como a un pez.
str_comment_you_raided_my_village_friendly|Habéis saqueado mi aldea de {s51}. Esto afectará gravemente a nuestra amistad.
str_comment_you_raided_my_village_default|Habéis saqueado mi aldea de {s51}. Si continuáis actuando de esa forma, esto terminará en el campo de batalla.
str_comment_you_raided_my_village_evil|You have raided my village of {s51}. My villagers will rejoice when I hang parts of your body from every corner.
str_comment_you_raided_my_village_greenskin|You have raided my village of {s51}. I will bash you for this and if you die, I will let my villagers drink from your skull.
str_comment_you_stole_cattles_from_my_village_enemy_benevolent|He oído que habéis robado ganado a granjeros inocentes bajo mi protección en la aldea de {s51}. ¡Os castigaré por vuestras fechorías!
str_comment_you_stole_cattles_from_my_village_enemy_spiteful|He oído que habéis robado ganado a mis aldeanos de {s51}, atacando así a mis propiedades. ¡Pagaréis por este acto deshonroso!
str_comment_you_stole_cattles_from_my_village_enemy_coldblooded|He oído que habéis robado ganado a mis aldeanos de {s51}, atacando así a mis propiedades. Haré que os lo penséis dos veces antes de desbaratar mis ingresos de esa forma la próxima vez.
str_comment_you_stole_cattles_from_my_village_enemy|He oído que habéis robado ganado a mis aldeanos de {s51}, atacando así a mis propiedades. ¡Pagaréis las consecuencias por este acto deshonroso!
str_comment_you_stole_cattles_from_my_village_unfriendly_spiteful|He oído que habéis robado ganado a mis aldeanos de {s51}. Hacedlo de nuevo y os desollaré como a un pescado.
str_comment_you_stole_cattles_from_my_village_friendly|He oído que habéis robado ganado a mis aldeanos de {s51}. Esto supondrá una grave tensión para nuestra amistad.
str_comment_you_stole_cattles_from_my_village_default|He oído que habéis robado ganado a mis aldeanos de {s51}. Si continuáis comportándoos de esta forma, puede que pronto lleguemos a mayores.
str_comment_you_robbed_my_village_enemy_coldblooded|Habéis robado a mis arrendatarios de la aldea de {s51}. Lo tomo como un insulto personal.
str_comment_you_robbed_my_village_enemy|Habéis robado a campesinos inocentes bajo mi protección en la aldea de {s51}.  ¡Os castigaré por vuestras fechorías!
str_comment_you_robbed_my_village_friendly_spiteful|He oído que habéis robado algo de comida a mis arrendatarios de {s51}. Bueno, no montaré en cólera por unas pocas sobras, pero tened en cuenta que soy yo quien debe escuchar sus quejas luego.
str_comment_you_robbed_my_village_friendly|He oído que habéis extorsionado a mis arrendatarios para que os den comida en {s51}. Sé que no lo haríais a menos que tuvierais una gran necesidad.
str_comment_you_robbed_my_village_default|Habéis robado a mis arrendatarios de la aldea de {s51}. Si continuáis comportándoos de esta forma, pronto llegaremos a las manos.
str_comment_you_robbed_my_village_evil1|We are not enemies {playername} and I would advise you not to make me one. Rob all the villages you like but leave mine be, do you understand!
str_comment_you_robbed_my_village_evil2|Robbing villagers is the work of the weak. I laugh at you for robbing {s51}, you are beneath me, ha, you are beneath even them.
str_comment_you_robbed_my_village_greenskin1|It makes me look bad when someone I know robs my villagers. I may be forced to react, especially if I am challenged. I hope for your sake it does not come to that 
str_comment_you_robbed_my_village_greenskin2|You wanna take me on then take me on, robbing the village of {s51} proves nothing. You wanna a piece of me then come at me, and prepare to be smashed.
str_comment_you_accosted_my_caravan_enemy|Habéis estado acosando caravanas que estaban bajo mi protección. Pero vuestras fechorías terminarán pronto.
str_comment_you_accosted_my_caravan_default|Habéis estado acosando caravanas que estaban bajo mi protección. Este comportamiento debe terminar.
str_comment_you_helped_villagers_benevolent|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. He sido negligente en mis deberes como señor y protector, y os agradezco lo que habéis hecho.
str_comment_you_helped_villagers_friendly_cruel|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. Aprecio vuestra disposición, pero prefiero que no dejéis mal parada mi autoridad.
str_comment_you_helped_villagers_friendly|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. Los tiempos son duros y sé que lo habéis hecho con buena intención, así que no objetaré a vuestra asistencia.
str_comment_you_helped_villagers_unfriendly_spiteful|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. Es gracioso veros mendigando el favor de mis vasallos, pero os pediría que os ocupéis de vuestros propios asuntos.
str_comment_you_helped_villagers_cruel|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. Como señor y protector de los campesinos, es mi deber ayudarles en tiempos de necesidad. Puede que lo hayáis hecho con buena voluntad, pero vuestras acciones minan mi autoridad. Os agradecería que los dejarais en paz.
str_comment_you_helped_villagers_default|He oído que habéis ayudado económicamente a mis arrendatarios de {s51}. Los tiempos son duros y sé que lo habéis hecho de buena fe, pero tratad de que no se vuelva a repetir. Yo soy su señor y protector y no quiero que vayan pidiendo ayuda a desconocidos.
str_comment_you_helped_villagers_evil|I heard you assisted the villagers of {s51}, I can only imagine you did this to earn my favour. If you really want to earn my favour then come and join me the next time I siege and sack a city. That would be a much greater use of your time.
str_comment_you_give_castle_in_my_control|No lamentaréis vuestra decisión de concederme {s51}. Podéis contar conmigo para su protección.
str_comment_you_captured_a_castle_allied_evil|I heard that you have besieged and taken {s51}. I hope you left none alive, it sends out the wrong message to our enemies if anyone is spared.
str_comment_you_captured_a_castle_allied_greenskin|I heard you tore down the defenders of {s51} and pummelled them into the ground. Now it belongs to us, let us celebrate in glory before we take some more.
str_comment_you_captured_a_castle_allied_friendly|He oído que habéis asediado y tomado {s51}. ¡Un trabajo excelente, me enorgullece ser vuestro amigo!
str_comment_you_captured_a_castle_allied_spiteful|He oído que habéis asediado y tomado {s51}. ¡Buen trabajo! Pronto podremos arrasar sus fortalezas, saquear sus tesoros y hacer que sus viudas nos sirvan el vino.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|He oído que habéis asediado y tomado {s51}. En fin, todos tenemos buenas rachas, digamos. Disfrutadlo mientras podáis hasta que vuestros superiores os pateen de vuelta al lugar de donde salisteis.
str_comment_you_captured_a_castle_allied_unfriendly|He oído que habéis asediado y tomado {s51}. Cualesquiera que fueran nuestras diferencias en el pasado, debo ofreceros mi enhorabuena.
str_comment_you_captured_a_castle_allied|He oído que habéis asediado y tomado {s51}. ¡Los tenemos en retirada!
str_comment_you_captured_my_castle_enemy_spiteful|He oído que habéis irrumpido en mi casa de {s51}. Espero que la mazmorra sea de vuestro agrado, porque es seguro que pasaréis mucho tiempo allí en los años venideros.
str_comment_you_captured_my_castle_enemy_chivalrous|Habéis tomado posesión de {s51}, mi legítimo feudo. ¡Espero que me deis la oportunidad de recuperarlo!
str_comment_you_captured_my_castle_enemy|Tenéis algo que me pertenece: {s51}. Os obligaré a devolver lo que no es vuestro.
str_comment_you_captured_my_castle_evil|You have something that belongs to me -- {s51}. When I am finished with you your very soul will scream in agony, and those screams will be music to my ears.
str_comment_you_captured_my_castle_greenskin|You stole my stronghold, {s51} belongs to me. When I have taken it back I will tie you to a pole in the courtyard so that my soldiers can take turns smashing your bones to dust.
str_comment_we_defeated_a_lord_unfriendly_spiteful|Supongo que querréis beber a la salud de nuestra victoria sobre {s54}. Bueno, pues guardad el vino, vuestro nombre mancillado no se limpiará tan fácilmente.
str_comment_we_defeated_a_lord_unfriendly|No olvidaré que luchamos juntos contra {s54}, pero tampoco olvidaré los demás asuntos que tenemos pendientes.
str_comment_we_defeated_a_lord_cruel|Gran victoria sobre {s54}, ¿verdad? ¡Hemos hecho de su ejército un banquete para los buitres!
str_comment_we_defeated_a_lord_quarrelsome|No olvidaré cómo derrotamos a {s54}. Lo he disfrutado.
str_comment_we_defeated_a_lord_upstanding|No olvidaré nuestra victoria sobre {s54}. Demos gracias nuevamente a los cielos y recemos para que nuestro orgullo no crezca desmesuradamente.
str_comment_we_defeated_a_lord_default|Gran victoria frente a {s54}, ¿verdad? Me honra haber luchado junto a vos.
str_comment_we_defeated_a_lord_evil1|We destroyed {s54}, my army doing the lions share of the damage. I am sure you saw why it is unwise to make an enemy of me.
str_comment_we_defeated_a_lord_evil2|It was about time {s54} fell to the might of our forces. News will spread fast and many will fear our names, now is the time to press forward.
str_comment_we_fought_in_siege_unfriendly_spiteful|Supongo que querréis beber a la salud de la captura de {s51}. Bueno, guardad vuestro vino, os costará mucho más que eso el limpiar vuestro nombre.
str_comment_we_fought_in_siege_unfriendly|No olvidaré cómo juntos arrasamos {s51}, pero tampoco olvidaré los demás asuntos que tenemos pendientes.
str_comment_we_fought_in_siege_cruel|No olvidaré cómo atravesamos los muros de {s51} y pasamos a sus defensores por nuestras espadas. Hermosos recuerdos.
str_comment_we_fought_in_siege_quarrelsome|¿Recordáis los gritos del enemigo cuando trepamos por los muros de {s51}? ¡Pensaron que estaban a salvo! ¡Cómo borramos sus sonrisas de sus caras!
str_comment_we_fought_in_siege_upstanding|No olvidaré nuestra captura de {s51}. Demos gracias nuevamente a los cielos y recemos para que nuestro orgullo no crezca desmesuradamente.
str_comment_we_fought_in_siege_default|No olvidaré cómo juntos capturamos {s51}. Me honra haber luchado a vuestro lado.
str_comment_we_fought_in_siege_evil|The walls of {s51} could not hold against the fury of our cause. Together we tore the defenders from the battlement and crushed them asunder. I hope we get to fight side by side again soon.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|Supongo que querréis beber a la salud de nuestra victoria en las cercanías de {s51}. Bueno, guardad vuestro vino, os costará mucho más que eso el limpiar vuestro nombre.
str_comment_we_fought_in_major_battle_unfriendly|No olvidaré cómo batallamos juntos en las cercanías de {s51}, pero tampoco olvidaré los demás asuntos que tenemos pendientes.
str_comment_we_fought_in_major_battle_cruel|No olvidaré la gran batalla cerca de {s51}, cuando rompimos las líneas enemigas y ellos salieron corriendo despavoridos. Hermosos recuerdos.
str_comment_we_fought_in_major_battle_quarrelsome|¡Ésa sí que fue una gran batalla, cerca de {s51}, cómo hicimos huir a esos bastardos!
str_comment_we_fought_in_major_battle_upstanding|No olvidaré cómo luchamos codo con codo en la gran batalla en las cercanías de {s51}. Demos gracias nuevamente a los cielos y recemos para que nuestro orgullo no crezca desmesuradamente.
str_comment_we_fought_in_major_battle_default|I will not forget how we fought side by side at the great battle near {s51}. I am honoured to have fought by your side.
str_comment_we_fought_in_major_battle_evil|I will not forget how we fought side by side at the great battle near {s51}. Such battles only make my hunger for blood and death increase, I am sure you feel the same.
str_comment_you_defeated_a_lord_allied_liege|Así que cruzasteis espadas con ese bribón llamado {s54}, y encima salisteis {victorioso/victoriosa}. Me alegra saberlo.
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|Oí que luchasteis y vencisteis a {s54}. Hasta los tontos tienen buena suerte, supongo.
str_comment_you_defeated_a_lord_allied_spiteful|Oí que luchasteis y vencisteis a ese perro, {s54}. Ah, si lo hubiera tenido frente a mí suplicando misericordia.
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|Oí que luchasteis y vencisteis a {s54}. Espero que no hayáis utilizado tretas deshonrosas para hacerlo.
str_comment_you_defeated_a_lord_allied|Oí que luchasteis y vencisteis a {s54}. Os deseo que disfrutéis de vuestra victoria.
str_comment_you_defeated_me_enemy_chivalrous|¡No siento rencor por vuestra victoria la última vez que nos encontramos, pero tengo ansias de volver a medirme con vos!
str_comment_you_defeated_me_enemy_spiteful|He estado esperando veros nuevamente. Vuestros trucos no me engañarán otra vez, y me deleitaré con vuestras peticiones de clemencia.
str_comment_you_defeated_me_enemy|Cuando nos encontramos por última vez, {playername}, me vencisteis. ¡Pero os aseguro que no volverá a suceder!
str_comment_you_defeated_me_evil|You proved your strength when you defeated me last {playername}. Now I will prove mine and after your forces are decimated I will personally remove your head from your shoulders
str_comment_you_defeated_me_greenskin|You beat me before {playername} but I can take the bashes and now I have returned. You will not be so lucky this time, prepare to be charged down. Waaaaaaaaaaaaaaagh!
str_comment_i_defeated_you_enemy_spiteful|¿Regresáis a por más? Hacedme luchar otra vez y vuestras tripas serán comida para mis perros.
str_comment_i_defeated_you_enemy_chivalrous|¿Venís a medir vuestro valor nuevamente, {playername}?
str_comment_i_defeated_you_enemy_benevolent|¿Otra vez venís a por mí? ¿Es que no aprendéis?
str_comment_i_defeated_you_enemy_coldblooded|Sois persistente, pero {molesto/molesta}.
str_comment_i_defeated_you_enemy|¿Cuántas veces tengo que reprenderos para que aprendáis a guardar distancia?
str_comment_we_were_defeated_unfriendly_spiteful|La última vez que os vi, los hombres de {s54} os habían vencido. Este desastre es culpa vuestra. Es una lástima que hayáis sobrevivido.
str_comment_we_were_defeated_unfriendly|La última vez que os vi, los hombres de {s54} os habían vencido. Bueno, veo que habéis sobrevivido.
str_comment_we_were_defeated_cruel|La última vez que os vi, los hombres de {s54} os habían vencido. No os preocupéis, lo encontraremos y haremos que se atragante con su victoria.
str_comment_we_were_defeated_default|La última vez que os vi, los hombres de {s54} os habían vencido. Es bueno veros en una pieza.
str_comment_you_were_defeated_allied_friendly_spiteful|Oí decir que lo pasasteis mal con {s54}. No os preocupéis, lo encontraré y os traeré su cabeza de regalo.
str_comment_you_were_defeated_allied_unfriendly_cruel|Oí que {s54} mató a vuestros hombres como si fueran ovejas. Pero vos aún seguís aquí. ¡Qué desilusión!
str_comment_you_were_defeated_allied_spiteful|Oí decir que {s54} os aplastó como a una hormiga. ¡Ja! ¡Los niños no deberían jugar juegos de adultos, {muchachito/muchachita}!
str_comment_you_were_defeated_allied_pitiless|Oí decir que {s54} os venció y dispersó vuestras fuerzas. Qué decepción...
str_comment_you_were_defeated_allied_unfriendly_upstanding|Oí decir que {s54} os venció. Deberíais buscar en vuestro interior y arrepentiros de vuestros pecados, ya que deben ser los Cielos quienes os están castigando.
str_comment_you_were_defeated_allied_unfriendly|Oí decir que {s54} os venció. Intentad que no os maten a demasiados hombres, ¿sí?
str_comment_you_were_defeated_allied|Oí decir que {s54} os venció. Pero no os preocupéis, ¡pronto se volverán las tornas!
str_comment_you_helped_my_ally_unfriendly_chivalrous|Oí decir que salvasteis a {s54} de una derrota segura. Pese a la opinión que tenga de vos, debo al menos felicitaros por eso.
str_comment_you_helped_my_ally_liege|Oí decir que salvasteis a mi vasallo {s54} de una derrota segura. 
str_comment_you_helped_my_ally_unfriendly_spiteful|Oí decir que cabalgasteis al rescate de nuestro pobre {s54}. ¿Pensasteis que era una damisela en apuros? No importa, es un error común.
str_comment_you_helped_my_ally_spiteful|Oí decir que salvasteis a {s54} de una buena. Creo que debisteis haberle dejado aprender la lección.
str_comment_you_helped_my_ally_chivalrous|Oí decir que salvasteis a {s54} de una situación difícil. Una acción noble.
str_comment_you_helped_my_ally_default|Oí decir que salvasteis a {s54} de una situación difícil. ¡Buen trabajo!
str_comment_you_abandoned_us_unfriendly_spiteful|¡Babosa! Nos abandonasteis a nuestra suerte frente a {s54}, ¿no es así? Sois repugnante.
str_comment_you_abandoned_us_unfriendly_pitiless|Bueno... me abandonasteis en medio de una batalla frente a {s54}, ¿no es así? Os veré {enterrado/enterrada} como a {un traidor/una traidora}.
str_comment_you_abandoned_us_spiteful|Desaparecisteis en medio de la batalla frente a {s54}... Espero que tengáis una buena explicación. ¿Vuestra vejiga no aguantó más? ¿Temblabais demasiado como para blandir vuestra espada?
str_comment_you_abandoned_us_chivalrous|¿Qué pasó? Desaparecisteis en medio de la batalla frente a {s54}. Espero que vuestras heridas fueran tan graves como para impediros continuar, porque me avergonzaría de haber estado del lado de {un/una} cobarde.
str_comment_you_abandoned_us_benefitofdoubt|¿Qué pasó? Desaparecisteis en medio de la batalla frente a {s54}. Supongo que os hirieron, pero resultó sospechoso.
str_comment_you_abandoned_us_default|¿Qué pasó? Un momento estabais luchando frente a {s54} y al siguiente habíais desaparecido.
str_comment_you_ran_from_me_enemy_spiteful|La última vez que nos encontramos, huisteis de mí como un perro apaleado. ¿Habéis regresado a ladrarme o a rogar clemencia?
str_comment_you_ran_from_me_enemy_chivalrous|La última vez que nos encontramos, huisteis de mí. ¡Tendréis que aprender a luchar como un caballero!
str_comment_you_ran_from_me_enemy_benevolent|Cuando os vi huir la última vez que nos encontramos, confiaba en no volver a tener que luchar con vos.
str_comment_you_ran_from_me_enemy_coldblooded|La última vez que nos vimos escapasteis de mí. Fue una decisión acertada.
str_comment_you_ran_from_me_enemy|La última vez que nos cruzamos pudisteis escapar, pero la próxima vez dudo que tengáis tanta suerte.
str_comment_you_ran_from_foe_allied_chivalrous|Dicen que huisteis de {s54}, dejando a vuestros hombres atrás. Espero que no sea verdad, tal conducta nos deshonra a todos.
str_comment_you_ran_from_foe_allied_upstanding|Dicen que huisteis de {s54}, dejando a vuestros hombres atrás. No suelo creer los rumores, pero sé que situaciones desesperadas requieren de medidas desesperadas. Os ruego que cuidéis vuestro nombre, ya que los hombres no querrán luchar con vos si saben que sois capaz de abandonarles a su suerte en el campo de batalla.
str_comment_you_ran_from_foe_allied_spiteful|Por cierto, dicen que escapasteis de {s54} chillando como un conejo asustado, dejando a vuestros hombres atrás para que los despedazaran. ¡Ja! ¡Vaya espectáculo tuvo que ser!
str_comment_you_defeated_my_friend_enemy_pragmatic|Puede que hayáis vencido a {s54}, pero no podéis vencernos a todos.
str_comment_you_defeated_my_friend_enemy_chivalrous|Oí que vencisteis a {s54} y desde entonces tengo ansias de cruzar nuestras espadas.
str_comment_you_defeated_my_friend_enemy_spiteful|Vuestra fama os precede, {playername}. Puede que hayáis engañado a {s54} con vuestros trucos, pero si lucháis contra mí os encontraréis con un enemigo mucho más escurridizo.
str_comment_you_defeated_my_friend_enemy|Dicen que habéis vencido a {s54}. Pero yo supondré un mayor desafío.
str_comment_you_captured_a_lord_allied_friendly_spiteful|Oí que capturasteis a {s54}. Espero que le hayáis exprimido hasta su último denar.
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Oí que capturasteis a {s54}. Vuestros baúles deben estar boyantes con el rescate. ¡Lástima que ese dinero no pueda transformar a un plebeyo miserable en un noble!
str_comment_you_captured_a_lord_allied_chivalrous|Oí que capturasteis a {s54}. Bien hecho. Asumiré, por supuesto, que ha sido tratado con los honores que corresponden a su rango.
str_comment_you_captured_a_lord_allied|Oí que capturasteis a {s54}. Bien hecho. Su rescate debe merecer la pena.
str_comment_you_let_go_a_lord_allied_chivalrous|Oí que capturasteis a {s54}, pero le dejasteis ir. Tal caballerosidad habla bien de nuestra causa.
str_comment_you_let_go_a_lord_allied_upstanding|Oí que capturasteis a {s54}, pero le dejasteis ir. Bueno, ha sido un gesto honorable, aunque también peligroso.
str_comment_you_let_go_a_lord_allied_coldblooded|Oí que capturasteis a {s54}, pero le dejasteis ir. Eso ha sido muy caballeroso de vuestra parte, pero la caballerosidad no gana guerras.
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Oí que capturasteis a {s54}, pero le dejasteis ir. ¡Qué caballeroso por vuestra parte! Sin duda las viudas y huérfanos que ha dejado a su paso os lo agradecerán en persona.
str_comment_you_let_go_a_lord_allied|Oí que capturasteis a {s54}, pero le dejasteis ir. Bueno, yo no soy quién para deciros lo que hacer con vuestros prisioneros.
str_comment_you_let_me_go_spiteful|La última vez que nos vimos me tuvisteis a vuestra merced y me dejasteis ir. Espero que hayáis disfrutado jugando conmigo, como un gato con un ratón, porque pronto os tendré a mi merced, para torturaros o humillaros según mi estado de ánimo.
str_comment_you_let_me_go_enemy_chivalrous|La última vez que nos vimos me tuvisteis a vuestra merced y me dejasteis ir. Fue un gesto muy caballeroso que no olvidaré. Pero también recuerdo el juramento a mi señor, y nuestros reinos continúan en guerra.
str_comment_you_let_me_go_enemy_coldblooded|La última vez que nos vimos me tuvisteis a vuestra merced y me dejasteis ir. Pero aún somos enemigos y no puedo asegurar que yo os muestre la misma piedad.
str_comment_you_let_me_go_enemy|La última vez que nos vimos me tuvisteis a vuestra merced y me dejasteis ir. Fue muy amable de vuestra parte. Pero aún estamos en guerra.
str_comment_you_let_me_go_default|La última vez que nos vimos me tuvisteis a vuestra merced y me dejasteis ir. Fue muy amable de vuestra parte y me alegra que nuestros reinos ya no estén en guerra.
str_comment_pledged_allegiance_allied_martial_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Confío en que no nos deshonréis con vuestro comportamiento.
str_comment_pledged_allegiance_allied_martial|Oí que habéis jurado lealtad a nuestro señor, {s54}. Estoy ansioso por luchar a vuestro lado contra nuestros enemigos.
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Bah. Haceos un favor y no os crucéis conmigo.
str_comment_pledged_allegiance_allied_quarrelsome|Oí que habéis jurado lealtad a nuestro señor, {s54}. Luchad con saña contra nuestros enemigos, respetad a vuestros mejores y no me traicionéis, y nos llevaremos bien.
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Si yo fuera él, no confiaría en vos ni para limpiar las letrinas.
str_comment_pledged_allegiance_allied_selfrighteous|Oí que habéis jurado lealtad a nuestro señor, {s54}. Luchad valientemente y se os recompensará. Traicionadnos y haremos de vos un ejemplo que nadie olvidará.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. No diré que me hace feliz, pero tal vez sea mejor teneros bajo nuestra carpa haciendo vuestras necesidades hacia afuera, que al contrario.
str_comment_pledged_allegiance_allied_cunning|Oí que habéis jurado lealtad a nuestro señor, {s54}. Eso es bueno. Cuantos más luchadores habilidosos tengamos de nuestro lado, mejor. Estaré vigilando vuestros progresos.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Sin duda lo traicionaréis pronto y yo tendré el placer de veros morir como a {un traidor/una traidora}.
str_comment_pledged_allegiance_allied_debauched|Oí que habéis jurado lealtad a nuestro señor, {s54}. Excelente... Tengo la seguridad de que nos haremos buenos amigos. Pero recordad... si nos traicionáis, será el mayor error que hayáis cometido.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Bueno, la verdad es que yo no habría confiado en vos, pero tal vez os merezcáis el beneficio de la duda.
str_comment_pledged_allegiance_allied_goodnatured|Oí que habéis jurado lealtad a nuestro señor, {s54}. ¡Bien hecho, {hombre/mujer}! Nuestro señor es un alma noble que recompensa la lealtad y el valor con amabilidad y generosidad.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Por lo que conozco sobre vos, me temo que nos deshonraréis, pero me sentiré feliz si demostráis que me equivoco.
str_comment_pledged_allegiance_allied_upstanding|Oí que habéis jurado lealtad a nuestro señor, {s54}. Luchad contra nuestros enemigos valerosamente, pero también con honor y compasión. Un buen nombre es tan valioso en cuestiones marciales como una espada afilada y un buen caballo.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|He oído que {s54} os ha concedido {s51} como feudo. ¡No lo olvidéis, dejad el látigo y recompensad a los campesinos!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|He oído que {s54} os ha concedido {s51} como feudo. Me alegro de que prosperéis, pero tened cuidado. Los hombres son como víboras, envidiosos y codiciosos de la riqueza de sus vecinos. Manteneos cerca de mí y yo os protegeré.
str_comment_our_king_granted_you_a_fief_allied_friendly|He oído que {s54} os ha concedido {s51} como feudo. Espero que vuestras nuevas tierras prosperen.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|He oído que {s54} os ha concedido {s51} como feudo. Recordad que antes de la caída siempre está el orgullo.
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|He oído que {s54} os ha concedido {s51} como feudo. No obstante, sospecho que la fortuna os sonríe sólo para humillaros luego aún más, cuando os devuelva al estiércol del que habéis salido.
str_comment_our_king_granted_you_a_fief_allied_spiteful|He oído que {s54} os ha concedido {s51} como feudo. Esperemos que de verdad os merezcáis el favor de nuestro señor.
str_comment_our_king_granted_you_a_fief_allied|He oído que {s54} os ha concedido {s51} como feudo. Parece que las cosas os van muy bien.
str_comment_you_renounced_your_alliegance_enemy_friendly|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Me entristece que debamos encontrarnos en un campo de batalla.
str_comment_you_renounced_your_alliegance_friendly|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Esperemos que no tengamos que pelearnos.
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Siempre pensé que terminaríais traicionando a {s54} y ahora parece que estaba en lo cierto. ¡Espero que estéis {preparado/preparada} para morir como {un traidor/una traidora}!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Me veo obligado a consideraros {un traidor/una traidora}.
str_comment_you_renounced_your_alliegance_enemy|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Bueno, así es como funciona el mundo, los camaradas se vuelven enemigos.
str_comment_you_renounced_your_alliegance_default|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Bueno, es vuestra decisión, pero no esperéis que tenga consideración alguna por vos cuando nos encontremos en batalla.
str_comment_you_claimed_the_throne_1_player_liege|Mis informantes me han dicho que hay gente en el reino hablando de vos como {próximo}/próxima regente. Imagino que pondréis fin a esos rumores absurdos y peligrosos sin demora.
str_comment_you_claimed_the_throne_2_player_liege|Mis informantes me han dicho que algunos de vuestros compañeros van contando a los campesinos que aspiráis al trono. Espero sinceramente que hayan estado actuando así sin vuestro conocimiento.
str_comment_lord_intervened_against_me|Es bien sabido que tuve una rencilla con {s54}, y {s50} intervino en favor de mi rival.
str_comment_i_protested_marshall_appointment|Es bien sabido que protesté contra la decisión de {s54} de nombrar mariscal a {s51}.
str_comment_i_blamed_defeat|Es bien sabido que estoy en desacuerdo con {s54} por el favor que ha mostrado hacia {s51}, que nos llevó a la derrota contra el {s56}.
str_comment_i_was_entitled_to_fief|Es bien conocida mi decepción al saber que {s54} recibió el feudo de {s51}, que debería haber sido mío.
str_comment_i_quarreled_with_troop_over_woman|Es bien sabido que {s51} ha estado cortejando a {s54}, al mismo tiempo que yo. Él no es digno de sus atenciones, y pienso obligarle a mantener las distancias con ella.
str_comment_i_quarreled_with_you_over_woman_default|He oído que habéis estado cortejando a {s54}. No creo que seáis digno de una dama como ella, y os recomendaría que cesarais vuestra persecución.
str_comment_i_quarreled_with_you_over_woman_derisive|He oído que habéis estado haciendo la corte a {s54}. Dejad que os diga algo... tengo mis ojos puestos en ella desde que era un chiquillo, y ella una niña. Es una dama de alta alcurnia, y no debería ser ofendida con las burdas atenciones de un extranjero. ¡Manteneos alejado de ella, o preparaos a pagar el precio de vuestra insolencia!
str_comment_player_suggestion_succeeded|Hice caso de vuestra sugerencia, y me sirvió de mucho.
